#x Y
0.143272  1.28687e-05
0.310423  2.78823e-05
0.477788  0.000196606
0.62106   0.000183737
0.835968  0.000164434
1.14639   0.000136552
1.26578   0.000125828
1.45703   0.000348171
1.64806   0.000331013
1.83952   0.000792858
2.0105    0.00508887
2.24023   0.0215952
2.44563   0.0376246
2.62008   0.0457527
2.7898    0.0486117
2.95824   0.0500337
3.17379   0.0507329
3.38913   0.0511926
3.58037   0.0514149
3.77162   0.0516373
4.01062   0.0518553
4.17798   0.0520798
4.3931    0.0523
4.60823   0.0525202
4.82314   0.0525009
5.01438   0.0527233
5.20541   0.0527061
5.39665   0.0529284
5.5879    0.0531508
5.77914   0.0533731
5.97038   0.0535955
6.16141   0.0535783
6.35244   0.0535612
6.56757   0.0537814
