# Force coefficients
# liftDir      : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# dragDir      : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# pitchAxis    : (0.00000000e+00 0.00000000e+00 1.00000000e+00)
# magUInf      : 1.00000000e+00
# lRef         : 2.00000000e+00
# Aref         : 2.00000000e+00
# CofR         : (0.00000000e+00 0.00000000e+00 0.00000000e+00)
#              
# Time         	Cm             	Cd             	Cl             	Cl(f)          	Cl(r)          
0.02           	-1.46510449e-08	1.53332614e+02	3.91737664e-05	1.95722321e-05	1.96015342e-05
0.04           	2.58939184e-08	5.15073660e+00	-6.34945442e-06	-3.14883329e-06	-3.20062113e-06
0.06           	1.77109795e-08	-1.67003053e+01	-9.06510643e-05	-4.53078212e-05	-4.53432431e-05
0.08           	5.15002159e-09	-1.19450672e+01	9.10193147e-05	4.55148074e-05	4.55045073e-05
0.1            	-4.60882480e-09	-6.83852222e+00	1.73721456e-05	8.68146399e-06	8.69068164e-06
0.12           	-1.01693931e-08	-3.77954668e+00	8.44312254e-05	4.22054433e-05	4.22257821e-05
0.14           	4.48488996e-08	-2.14845307e+00	-3.10290233e-05	-1.54696627e-05	-1.55593605e-05
0.16           	1.15574167e-07	-1.29813607e+00	-3.44839534e-05	-1.71264025e-05	-1.73575509e-05
0.18           	1.24137653e-07	-8.32790463e-01	-5.23137870e-05	-2.60327559e-05	-2.62810312e-05
0.2            	1.07619802e-07	-5.53856594e-01	-2.19978188e-05	-1.08912896e-05	-1.11065292e-05
0.22           	8.00014427e-08	-3.69494179e-01	-5.31999462e-06	-2.57999587e-06	-2.73999875e-06
0.24           	6.20138271e-08	-2.38105313e-01	-9.24696513e-06	-4.56146874e-06	-4.68549639e-06
0.26           	6.82408771e-08	-1.40023565e-01	-1.53750594e-05	-7.61928881e-06	-7.75577056e-06
0.28           	8.55677226e-08	-6.47249141e-02	-1.38008125e-05	-6.81483855e-06	-6.98597399e-06
0.3            	1.03607562e-07	-5.79622493e-03	-2.18814725e-05	-1.08371287e-05	-1.10443438e-05
0.32           	1.17443838e-07	4.08489601e-02	-2.33813519e-05	-1.15732321e-05	-1.18081198e-05
0.34           	1.03683263e-07	7.80998074e-02	-1.71231665e-05	-8.45789999e-06	-8.66526652e-06
0.36           	8.49577467e-08	1.08194406e-01	-1.15101142e-05	-5.67009936e-06	-5.84001485e-06
0.38           	7.40839752e-08	1.32725180e-01	-7.51735126e-06	-3.68459166e-06	-3.83275961e-06
0.4            	7.38172781e-08	1.52906177e-01	-7.42766546e-06	-3.64001545e-06	-3.78765001e-06
0.42           	8.08469115e-08	1.69703965e-01	-6.18366457e-06	-3.01098538e-06	-3.17267920e-06
0.44           	8.91856044e-08	1.83786306e-01	-1.24590710e-05	-6.14034991e-06	-6.31872112e-06
0.46           	9.62876568e-08	1.95651010e-01	-1.35749237e-06	-5.82458526e-07	-7.75033840e-07
0.48           	1.00419766e-07	2.05780082e-01	-3.85684302e-05	-1.91837953e-05	-1.93846348e-05
0.5            	1.02800973e-07	2.14574523e-01	-3.17476075e-05	-1.57710028e-05	-1.59766047e-05
0.52           	1.41523026e-07	2.22212947e-01	-4.19797405e-05	-2.08483472e-05	-2.11313933e-05
0.54           	9.76213580e-08	2.28966344e-01	-4.56439331e-05	-2.27243452e-05	-2.29195879e-05
0.56           	8.81132369e-08	2.35037880e-01	-4.06108760e-05	-2.02173248e-05	-2.03935512e-05
0.58           	7.80112104e-08	2.40596425e-01	-2.12880474e-05	-1.05660125e-05	-1.07220349e-05
0.6            	6.87954610e-08	2.46001795e-01	-1.49597533e-05	-7.41108118e-06	-7.54867210e-06
0.62           	6.09867153e-08	2.51229252e-01	-1.14631661e-05	-5.67059631e-06	-5.79256974e-06
0.64           	5.43999004e-08	2.56246175e-01	-1.15193889e-05	-5.70529454e-06	-5.81409434e-06
0.66           	4.83791533e-08	2.61035086e-01	-1.12240704e-05	-5.56365607e-06	-5.66041438e-06
0.68           	4.33919927e-08	2.65528194e-01	-1.14289853e-05	-5.67110066e-06	-5.75788465e-06
0.7            	3.82195913e-08	2.69849462e-01	-1.16766935e-05	-5.80012715e-06	-5.87656633e-06
0.72           	3.35501299e-08	2.74155181e-01	-1.25402099e-05	-6.23655482e-06	-6.30365508e-06
0.74           	2.88673856e-08	2.78455439e-01	-1.38548049e-05	-6.89853509e-06	-6.95626986e-06
0.76           	2.30975835e-08	2.82837522e-01	-1.55927861e-05	-7.77329546e-06	-7.81949062e-06
0.78           	1.63739661e-08	2.86971862e-01	-1.60929150e-05	-8.03008354e-06	-8.06283147e-06
0.8            	1.19639616e-08	2.88373073e-01	-2.56992898e-05	-1.28376809e-05	-1.28616089e-05
0.82           	5.64068238e-09	2.89383310e-01	-8.79999428e-06	-4.39435646e-06	-4.40563782e-06
0.84           	-1.29785396e-09	2.90299661e-01	-1.93053724e-05	-9.65398406e-06	-9.65138835e-06
0.86           	-6.47350793e-09	2.94313244e-01	-2.29088539e-05	-1.14609004e-05	-1.14479534e-05
0.88           	-1.16207363e-08	2.94081536e-01	-2.20916908e-05	-1.10574661e-05	-1.10342247e-05
0.9            	-1.78900758e-08	2.97113041e-01	-1.03248680e-05	-5.18032407e-06	-5.14454392e-06
0.92           	-2.43308600e-08	3.01398194e-01	-1.34537511e-05	-6.75120641e-06	-6.70254469e-06
0.94           	-3.13695338e-08	3.05307052e-01	-1.56336283e-05	-7.84818369e-06	-7.78544462e-06
0.96           	-3.79428940e-08	3.10087629e-01	-1.65303045e-05	-8.30309516e-06	-8.22720937e-06
0.98           	-4.37561336e-08	3.14846640e-01	-1.47203483e-05	-7.40393028e-06	-7.31641802e-06
1              	-4.85301410e-08	3.19636230e-01	-1.80365682e-05	-9.06681423e-06	-8.96975394e-06
1.02           	-5.34711551e-08	3.24495441e-01	-2.10017084e-05	-1.05543253e-05	-1.04473830e-05
1.04           	-5.34244471e-08	3.29166168e-01	-1.98471160e-05	-9.97698244e-06	-9.87013355e-06
1.06           	-5.50794233e-08	3.33437617e-01	-2.37241266e-05	-1.19171427e-05	-1.18069839e-05
1.08           	-5.77485398e-08	3.38218516e-01	-2.17710874e-05	-1.09432922e-05	-1.08277952e-05
1.1            	-6.05092481e-08	3.42585110e-01	-2.30930795e-05	-1.16070490e-05	-1.14860305e-05
1.12           	-6.35028095e-08	3.47978764e-01	-2.08934458e-05	-1.05102257e-05	-1.03832201e-05
1.14           	-6.59842707e-08	3.53612542e-01	-2.32753288e-05	-1.17036487e-05	-1.15716801e-05
1.16           	-6.88208255e-08	3.59311679e-01	-2.06824999e-05	-1.04100708e-05	-1.02724291e-05
1.18           	-7.16416711e-08	3.64875792e-01	-2.45077292e-05	-1.23255062e-05	-1.21822229e-05
1.2            	-7.66498686e-08	3.70492854e-01	-1.26134177e-05	-6.38335870e-06	-6.23005896e-06
