# Force coefficients
# liftDir      : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# dragDir      : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# pitchAxis    : (0.00000000e+00 0.00000000e+00 1.00000000e+00)
# magUInf      : 1.00000000e+00
# lRef         : 2.00000000e+00
# Aref         : 2.00000000e+00
# CofR         : (0.00000000e+00 0.00000000e+00 0.00000000e+00)
#              
# Time         	Cm             	Cd             	Cl             	Cl(f)          	Cl(r)          
0.02           	-2.68608004e-08	1.53487325e+02	3.86201106e-05	1.92831945e-05	1.93369161e-05
0.04           	5.02794322e-08	5.20203820e+00	-6.06715853e-06	-2.98329983e-06	-3.08385870e-06
0.06           	3.56671369e-08	-1.65882204e+01	-9.10903815e-05	-4.55095236e-05	-4.55808579e-05
0.08           	1.28442290e-08	-1.18225869e+01	9.20709772e-05	4.60483329e-05	4.60226444e-05
0.1            	-5.45931299e-09	-6.70336721e+00	1.76755630e-05	8.83232220e-06	8.84324082e-06
0.12           	-1.56413050e-08	-3.64486430e+00	7.92755052e-05	3.96221113e-05	3.96533939e-05
0.14           	3.91473681e-08	-2.01807816e+00	-1.83269236e-05	-9.12431445e-06	-9.20260918e-06
0.16           	2.26894386e-07	-1.17240202e+00	-3.24514726e-05	-1.59988419e-05	-1.64526307e-05
0.18           	2.61669465e-07	-7.11085370e-01	-2.29493780e-05	-1.12130195e-05	-1.17363585e-05
0.2            	2.13496956e-07	-4.35842954e-01	-3.61570685e-05	-1.78650373e-05	-1.82920312e-05
0.22           	1.69288728e-07	-2.54935302e-01	-1.40393885e-05	-6.85040550e-06	-7.18898295e-06
0.24           	1.40200101e-07	-1.26903019e-01	-1.08748573e-05	-5.29722857e-06	-5.57762877e-06
0.26           	1.31796817e-07	-3.19920152e-02	-1.39461477e-05	-6.84127704e-06	-7.10487067e-06
0.28           	1.47614775e-07	4.03550886e-02	-2.02252252e-05	-9.96499785e-06	-1.02602274e-05
0.3            	1.80916509e-07	9.65625404e-02	-1.18292046e-05	-5.73368578e-06	-6.09551880e-06
0.32           	2.11624665e-07	1.40650725e-01	-1.24776363e-05	-6.02719348e-06	-6.45044281e-06
0.34           	2.33386024e-07	1.75513512e-01	4.25245150e-06	2.35961177e-06	1.89283973e-06
0.36           	2.35969479e-07	2.03597782e-01	-7.95904211e-06	-3.74355158e-06	-4.21549054e-06
0.38           	2.02504977e-07	2.26184003e-01	-4.88071927e-06	-2.23785466e-06	-2.64286461e-06
0.4            	1.83301713e-07	2.44663342e-01	-2.99517812e-06	-1.31428735e-06	-1.68089077e-06
0.42           	1.69452201e-07	2.59858809e-01	7.07827351e-07	5.23365876e-07	1.84461475e-07
0.44           	1.61298178e-07	2.72520751e-01	-2.65522226e-06	-1.16631295e-06	-1.48890931e-06
0.46           	1.72559089e-07	2.83088244e-01	-6.04509908e-06	-2.84999045e-06	-3.19510863e-06
0.48           	1.90053552e-07	2.92023946e-01	-9.19195672e-06	-4.40592481e-06	-4.78603191e-06
0.5            	2.07043407e-07	2.99698435e-01	-1.25912886e-05	-6.08860091e-06	-6.50268772e-06
0.52           	2.18249546e-07	3.06457928e-01	-1.72217901e-05	-8.39264552e-06	-8.82914461e-06
0.54           	2.23923327e-07	3.12718347e-01	-2.11261140e-05	-1.03391337e-05	-1.07869803e-05
0.56           	2.24895413e-07	3.18413132e-01	-2.49025107e-05	-1.22263599e-05	-1.26761508e-05
0.58           	2.21965992e-07	3.23616563e-01	-2.43883749e-05	-1.19722214e-05	-1.24161534e-05
0.6            	2.15776248e-07	3.28520854e-01	-3.04395831e-05	-1.50040153e-05	-1.54355678e-05
0.62           	1.97062826e-07	3.32976039e-01	-3.44571416e-05	-1.70315080e-05	-1.74256336e-05
0.64           	1.77495812e-07	3.37063254e-01	-3.71428493e-05	-1.83939288e-05	-1.87489205e-05
0.66           	1.60374713e-07	3.40886000e-01	-4.08646239e-05	-2.02719372e-05	-2.05926866e-05
0.68           	1.45531242e-07	3.44577411e-01	-3.16267359e-05	-1.56678367e-05	-1.59588992e-05
0.7            	1.32044599e-07	3.48241533e-01	-1.20697960e-05	-5.90285339e-06	-6.16694259e-06
0.72           	1.18282290e-07	3.51960142e-01	-5.07978121e-06	-2.42160831e-06	-2.65817289e-06
0.74           	3.95466643e-08	3.55897524e-01	-4.46645734e-06	-2.19368200e-06	-2.27277533e-06
0.76           	9.09002384e-08	3.59070490e-01	-9.26448392e-06	-4.54134172e-06	-4.72314220e-06
0.78           	7.84977909e-08	3.59611568e-01	-5.05990182e-06	-2.45145312e-06	-2.60844870e-06
0.8            	6.82553856e-08	3.60776471e-01	-1.64456619e-05	-8.15457556e-06	-8.29108633e-06
0.82           	6.08035668e-08	3.63137546e-01	-2.36641030e-05	-1.17712479e-05	-1.18928551e-05
0.84           	5.46454784e-08	3.63772920e-01	-1.20360838e-05	-5.96339645e-06	-6.07268740e-06
0.86           	4.90863372e-08	3.65597391e-01	-1.57897236e-05	-7.84577546e-06	-7.94394813e-06
0.88           	2.06536870e-08	3.69495031e-01	-1.16986889e-05	-5.82869077e-06	-5.86999814e-06
0.9            	3.00865832e-08	3.74400975e-01	-1.65859719e-05	-8.26289937e-06	-8.32307254e-06
0.92           	2.76268729e-08	3.78658461e-01	-1.73111297e-05	-8.62793797e-06	-8.68319171e-06
0.94           	2.55757572e-08	3.82764634e-01	-1.45916258e-05	-7.27023717e-06	-7.32138868e-06
0.96           	2.41383713e-08	3.88118681e-01	-6.68903830e-06	-3.32038078e-06	-3.36865752e-06
0.98           	1.88455665e-08	3.92958150e-01	-9.03746171e-06	-4.49988529e-06	-4.53757642e-06
1              	2.32401656e-08	3.97191179e-01	-1.46289145e-05	-7.29121710e-06	-7.33769743e-06
1.02           	1.77933836e-08	4.01936496e-01	-1.91949432e-05	-9.57967819e-06	-9.61526496e-06
1.04           	1.27099316e-08	4.06291829e-01	-1.79032874e-05	-8.93893377e-06	-8.96435363e-06
1.06           	7.86354776e-09	4.11524364e-01	-1.25127450e-05	-6.24850896e-06	-6.26423605e-06
1.08           	3.27982017e-09	4.17006272e-01	-1.05592197e-05	-5.27633005e-06	-5.28288969e-06
1.1            	2.56823273e-09	4.22432996e-01	-9.97363127e-06	-4.98424740e-06	-4.98938387e-06
1.12           	-1.04999392e-09	4.27159329e-01	-9.28161578e-06	-4.64185788e-06	-4.63975789e-06
1.14           	-3.56188076e-09	4.35024033e-01	-9.71511386e-06	-4.86111881e-06	-4.85399505e-06
1.16           	-6.45277924e-09	4.43178645e-01	-7.20146221e-06	-3.60718388e-06	-3.59427832e-06
