# Force coefficients
# liftDir      : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# dragDir      : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# pitchAxis    : (0.00000000e+00 0.00000000e+00 1.00000000e+00)
# magUInf      : 1.00000000e+00
# lRef         : 2.00000000e+00
# Aref         : 2.00000000e+00
# CofR         : (0.00000000e+00 0.00000000e+00 0.00000000e+00)
#              
# Time         	Cm             	Cd             	Cl             	Cl(f)          	Cl(r)          
0.02           	-1.81534815e-08	1.53372267e+02	3.90609030e-05	1.95122980e-05	1.95486050e-05
0.04           	3.30176167e-08	5.16616041e+00	-6.27919002e-06	-3.10657739e-06	-3.17261263e-06
0.06           	2.28318222e-08	-1.66693614e+01	-9.07291083e-05	-4.53417223e-05	-4.53873860e-05
0.08           	7.12255992e-09	-1.19115481e+01	9.12395314e-05	4.56268883e-05	4.56126431e-05
0.1            	-5.17979766e-09	-6.80190304e+00	1.75563364e-05	8.77298840e-06	8.78334799e-06
0.12           	-1.17182061e-08	-3.74317570e+00	8.19155397e-05	4.09460516e-05	4.09694881e-05
0.14           	5.31899364e-08	-2.11327964e+00	-2.90826258e-05	-1.44881230e-05	-1.45945028e-05
0.16           	1.45949915e-07	-1.26422276e+00	-3.43359236e-05	-1.70220119e-05	-1.73139117e-05
0.18           	1.56144351e-07	-7.99953575e-01	-2.63460539e-05	-1.30168826e-05	-1.33291713e-05
0.2            	1.32172342e-07	-5.21990062e-01	-5.58105606e-05	-2.77731080e-05	-2.80374527e-05
0.22           	1.03216976e-07	-3.38527582e-01	6.23968815e-08	1.34415417e-07	-7.20185354e-08
0.24           	8.15470382e-08	-2.08052537e-01	-6.09810539e-06	-2.96750565e-06	-3.13059973e-06
0.26           	8.48696359e-08	-1.10819964e-01	-1.33744839e-05	-6.60237233e-06	-6.77211160e-06
0.28           	1.05922666e-07	-3.63168917e-02	-2.15790394e-05	-1.06835970e-05	-1.08954424e-05
0.3            	1.28837059e-07	2.18928739e-02	-1.09808439e-05	-5.36158488e-06	-5.61925900e-06
0.32           	1.47043746e-07	6.78387136e-02	-2.24708076e-05	-1.10883601e-05	-1.13824475e-05
