# Force coefficients
# liftDir      : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# dragDir      : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# pitchAxis    : (0.00000000e+00 0.00000000e+00 1.00000000e+00)
# magUInf      : 1.00000000e+00
# lRef         : 2.00000000e+00
# Aref         : 2.00000000e+00
# CofR         : (0.00000000e+00 0.00000000e+00 0.00000000e+00)
#              
# Time         	Cm             	Cd             	Cl             	Cl(f)          	Cl(r)          
0.02           	-1.22087585e-08	1.53309324e+02	3.92432855e-05	1.96094340e-05	1.96338515e-05
0.04           	2.11355078e-08	5.13850365e+00	-6.42775600e-06	-3.19274249e-06	-3.23501351e-06
0.06           	1.43221243e-08	-1.67204950e+01	-9.05757609e-05	-4.52735583e-05	-4.53022026e-05
0.08           	3.94939434e-09	-1.19665896e+01	9.09159341e-05	4.54619164e-05	4.54540176e-05
0.1            	-4.07343863e-09	-6.86142678e+00	1.72268928e-05	8.60937294e-06	8.61751982e-06
0.12           	-9.33541003e-09	-3.80210787e+00	8.49134435e-05	4.24473864e-05	4.24660572e-05
0.14           	3.78421386e-08	-2.17024152e+00	-3.17994293e-05	-1.58618725e-05	-1.59375568e-05
0.16           	9.45483038e-08	-1.31914807e+00	-3.47584297e-05	-1.72846666e-05	-1.74737632e-05
0.18           	1.02159926e-07	-8.53146076e-01	-5.31210420e-05	-2.64583611e-05	-2.66626809e-05
0.2            	8.73832971e-08	-5.73651944e-01	-2.24827176e-05	-1.11539755e-05	-1.13287421e-05
0.22           	6.46068123e-08	-3.88739450e-01	-5.89580509e-06	-2.88329573e-06	-3.01250936e-06
0.24           	5.25897679e-08	-2.56808099e-01	-9.72328268e-06	-4.80905157e-06	-4.91423111e-06
0.26           	5.86330410e-08	-1.58218060e-01	-1.60714491e-05	-7.97709151e-06	-8.09435760e-06
0.28           	7.30408605e-08	-8.24501810e-02	-1.42622693e-05	-7.05809380e-06	-7.20417552e-06
0.3            	8.78767737e-08	-2.31119531e-02	-2.20187527e-05	-1.09214996e-05	-1.10972531e-05
0.32           	9.70551646e-08	2.39757388e-02	-2.26986341e-05	-1.12522619e-05	-1.14463722e-05
0.34           	8.34437010e-08	6.16169034e-02	-1.79150613e-05	-8.87408695e-06	-9.04097435e-06
0.36           	7.00073568e-08	9.20642744e-02	-1.29429269e-05	-6.40145610e-06	-6.54147081e-06
