# Force coefficients
# liftDir      : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# dragDir      : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# pitchAxis    : (0.00000000e+00 0.00000000e+00 1.00000000e+00)
# magUInf      : 1.00000000e+00
# lRef         : 2.00000000e+00
# Aref         : 2.00000000e+00
# CofR         : (0.00000000e+00 0.00000000e+00 0.00000000e+00)
#              
# Time         	Cm             	Cd             	Cl             	Cl(f)          	Cl(r)          
0.02           	-2.36939327e-06	1.68945128e+02	1.42457702e-04	6.88594575e-05	7.35982441e-05
0.04           	-3.35409334e-07	8.09970476e+00	-1.71050861e-04	-8.58608396e-05	-8.51900209e-05
0.06           	-6.29552263e-07	-9.77921725e+00	1.75164630e-04	8.69527626e-05	8.82118671e-05
0.08           	-9.69963073e-07	-5.04716581e+00	1.36810809e-04	6.74354416e-05	6.93753677e-05
0.1            	-1.09933692e-06	-1.71644137e-01	3.96364290e-05	1.87188776e-05	2.09175514e-05
0.12           	-1.08272438e-06	2.37372442e+00	1.53871582e-05	6.61085472e-06	8.77630349e-06
0.14           	-1.00987161e-06	3.41437387e+00	-4.79710655e-05	-2.49954044e-05	-2.29756612e-05
0.16           	-9.16451189e-07	3.74278442e+00	-2.68342358e-05	-1.43335691e-05	-1.25006667e-05
0.18           	-8.24236655e-07	3.78240161e+00	-1.31881282e-05	-7.41830076e-06	-5.76982745e-06
0.2            	-7.41661120e-07	3.72113405e+00	-5.19499190e-06	-3.33915707e-06	-1.85583483e-06
0.22           	-6.69351203e-07	3.63213828e+00	-8.88750409e-07	-1.11372641e-06	2.24975999e-07
0.24           	-6.07410635e-07	3.53926761e+00	5.31398260e-07	-3.41711505e-07	8.73109765e-07
0.26           	-5.55253341e-07	3.44985987e+00	-2.63319719e-06	-1.87185193e-06	-7.61345252e-07
0.28           	-5.10500938e-07	3.36614632e+00	-1.48683934e-06	-1.25392061e-06	-2.32918734e-07
0.3            	-4.71850615e-07	3.28874605e+00	-5.71459846e-07	-7.57580538e-07	1.86120692e-07
0.32           	-4.38084071e-07	3.21722544e+00	-3.06263146e-08	-4.53397229e-07	4.22770914e-07
0.34           	-4.08330777e-07	3.15123199e+00	2.28738332e-08	-3.96893861e-07	4.19767694e-07
0.36           	-3.81701116e-07	3.09045722e+00	1.55328202e-07	-3.04037015e-07	4.59365217e-07
0.38           	-3.57819074e-07	3.03424985e+00	1.87836249e-07	-2.63900949e-07	4.51737199e-07
0.4            	-3.36262937e-07	2.98217831e+00	1.95365751e-07	-2.38580061e-07	4.33945812e-07
0.42           	-3.16651362e-07	2.93346985e+00	1.43839512e-07	-2.44731606e-07	3.88571118e-07
0.44           	-2.98718868e-07	2.88816526e+00	1.37783018e-07	-2.29827359e-07	3.67610377e-07
0.46           	-2.82150203e-07	2.84579810e+00	3.97833590e-08	-2.62258523e-07	3.02041882e-07
0.48           	-2.66864466e-07	2.80631323e+00	-3.23574452e-08	-2.83043189e-07	2.50685743e-07
0.5            	-2.52741244e-07	2.76958692e+00	-9.17699342e-08	-2.98626212e-07	2.06856277e-07
