# Force coefficients
# liftDir      : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# dragDir      : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# pitchAxis    : (0.00000000e+00 0.00000000e+00 1.00000000e+00)
# magUInf      : 1.00000000e+00
# lRef         : 2.00000000e+00
# Aref         : 2.00000000e+00
# CofR         : (0.00000000e+00 0.00000000e+00 0.00000000e+00)
#              
# Time         	Cm             	Cd             	Cl             	Cl(f)          	Cl(r)          
0.02           	-1.08446413e-08	1.53299732e+02	3.92757908e-05	1.96270507e-05	1.96487400e-05
0.04           	1.89735884e-08	5.13226552e+00	-6.47635981e-06	-3.21920632e-06	-3.25715350e-06
0.06           	1.28114293e-08	-1.67294755e+01	-9.05243394e-05	-4.52493583e-05	-4.52749811e-05
0.08           	3.44905591e-09	-1.19760359e+01	9.08778091e-05	4.54423536e-05	4.54354555e-05
0.1            	-3.77738923e-09	-6.87125835e+00	1.71667247e-05	8.57958497e-06	8.58713974e-06
0.12           	-8.49014238e-09	-3.81172216e+00	8.51244029e-05	4.25537113e-05	4.25706916e-05
0.14           	3.45920078e-08	-2.17951686e+00	-3.21099040e-05	-1.60203600e-05	-1.60895440e-05
0.16           	8.52917228e-08	-1.32809942e+00	-3.49139442e-05	-1.73716804e-05	-1.75422638e-05
0.18           	9.22881721e-08	-8.61822720e-01	-5.35743185e-05	-2.66948711e-05	-2.68794474e-05
0.2            	7.81047843e-08	-5.82098990e-01	-2.28074810e-05	-1.13256357e-05	-1.14818453e-05
0.22           	5.74761721e-08	-3.96962560e-01	-6.20116149e-06	-3.04310457e-06	-3.15805692e-06
0.24           	4.76174166e-08	-2.64809484e-01	-9.93679603e-06	-4.92078060e-06	-5.01601543e-06
0.26           	5.33932751e-08	-1.66015026e-01	-1.62536050e-05	-8.07340921e-06	-8.18019576e-06
0.28           	6.64516798e-08	-9.00550595e-02	-1.43906859e-05	-7.12889127e-06	-7.26179463e-06
0.3            	7.98583485e-08	-3.05523207e-02	-2.39829562e-05	-1.19116197e-05	-1.20713364e-05
0.32           	8.64537058e-08	1.67151214e-02	-2.03084923e-05	-1.00677924e-05	-1.02406998e-05
0.34           	7.34797446e-08	5.45211699e-02	-1.84001698e-05	-9.12660517e-06	-9.27356465e-06
0.36           	6.22204116e-08	8.51144314e-02	-1.32911387e-05	-6.58334893e-06	-6.70778975e-06
0.38           	5.64767710e-08	1.10107600e-01	-9.07166037e-06	-4.47935342e-06	-4.59230696e-06
0.4            	5.95465750e-08	1.30715891e-01	-7.70815407e-06	-3.79453046e-06	-3.91362361e-06
0.42           	6.52324347e-08	1.47912663e-01	-8.69599712e-06	-4.28276613e-06	-4.41323100e-06
0.44           	7.07965942e-08	1.62377806e-01	-8.13580339e-06	-3.99710510e-06	-4.13869829e-06
0.46           	7.45330823e-08	1.74628419e-01	-1.73461243e-05	-8.59852904e-06	-8.74759521e-06
0.48           	7.63866845e-08	1.85112728e-01	-3.10483852e-05	-1.54478059e-05	-1.56005793e-05
0.5            	7.76048682e-08	1.94153708e-01	-3.21630642e-05	-1.60039272e-05	-1.61591370e-05
0.52           	7.58778079e-08	2.02041595e-01	-3.21970967e-05	-1.60226706e-05	-1.61744262e-05
0.54           	6.82581747e-08	2.08988699e-01	-2.85446062e-05	-1.42040449e-05	-1.43405613e-05
0.56           	5.99873114e-08	2.15288330e-01	-1.43530705e-05	-7.11654796e-06	-7.23652258e-06
0.58           	5.21440790e-08	2.21042955e-01	-1.54397011e-05	-7.66770647e-06	-7.77199462e-06
0.6            	4.52756719e-08	2.26417851e-01	-1.06556065e-05	-5.28252756e-06	-5.37307891e-06
0.62           	3.95327188e-08	2.31727019e-01	-1.12745582e-05	-5.59774637e-06	-5.67681180e-06
0.64           	3.43873799e-08	2.36878698e-01	-9.75746377e-06	-4.84434450e-06	-4.91311926e-06
0.66           	2.99800645e-08	2.41891896e-01	-6.53986580e-06	-3.23995284e-06	-3.29991296e-06
0.68           	2.61008714e-08	2.46618984e-01	-1.11106171e-05	-5.52920770e-06	-5.58140944e-06
0.7            	2.23164935e-08	2.51139351e-01	-6.37886821e-06	-3.16711761e-06	-3.21175060e-06
0.72           	1.86258785e-08	2.55546082e-01	-1.01104815e-05	-5.03661487e-06	-5.07386663e-06
0.74           	1.43769607e-08	2.59919938e-01	-1.00448879e-05	-5.00806700e-06	-5.03682092e-06
0.76           	4.46978098e-09	2.64364554e-01	-1.23288045e-05	-6.15993249e-06	-6.16887205e-06
0.78           	4.39915647e-09	2.68899245e-01	-1.23576133e-05	-6.17440751e-06	-6.18320582e-06
0.8            	-2.24747312e-09	2.70727873e-01	-1.50470945e-05	-7.52579473e-06	-7.52129978e-06
0.82           	-9.67591311e-09	2.71919890e-01	-1.39802560e-05	-6.99980393e-06	-6.98045211e-06
0.84           	-1.73521585e-08	2.72706583e-01	-1.72917912e-05	-8.66324776e-06	-8.62854344e-06
0.86           	-2.37155437e-08	2.76051184e-01	-2.59851083e-05	-1.30162697e-05	-1.29688386e-05
0.88           	-2.86272192e-08	2.75968220e-01	-1.15748034e-05	-5.81602891e-06	-5.75877447e-06
0.9            	-3.31880713e-08	2.79406382e-01	-1.34366712e-05	-6.75152367e-06	-6.68514753e-06
0.92           	-3.71627392e-08	2.82518931e-01	-4.23507013e-06	-2.15469780e-06	-2.08037232e-06
0.94           	-4.08564574e-08	2.87022421e-01	-8.43073101e-06	-4.25622196e-06	-4.17450905e-06
0.96           	-4.37130782e-08	2.91430103e-01	-7.90872370e-06	-3.99807493e-06	-3.91064877e-06
0.98           	-4.64185657e-08	2.96128335e-01	-7.03016890e-06	-3.56150301e-06	-3.46866588e-06
1              	-4.90889400e-08	3.00452937e-01	-5.26554170e-06	-2.68185979e-06	-2.58368191e-06
1.02           	-5.06058669e-08	3.05470486e-01	-1.22227653e-05	-6.16198851e-06	-6.06077678e-06
1.04           	-5.18643121e-08	3.10339353e-01	-1.41415737e-05	-7.12265117e-06	-7.01892254e-06
1.06           	-5.35856172e-08	3.15116268e-01	-1.71427803e-05	-8.62497575e-06	-8.51780451e-06
1.08           	-5.47900773e-08	3.19467509e-01	-1.72308827e-05	-8.67023143e-06	-8.56065127e-06
1.1            	-5.66079314e-08	3.24277221e-01	-1.90949788e-05	-9.60409735e-06	-9.49088149e-06
1.12           	-5.82299144e-08	3.28628963e-01	-1.95306736e-05	-9.82356671e-06	-9.70710688e-06
1.14           	-5.99349575e-08	3.33983596e-01	-1.63343296e-05	-8.22709976e-06	-8.10722984e-06
1.16           	-6.17415963e-08	3.39646415e-01	-1.62388077e-05	-8.18114546e-06	-8.05766227e-06
1.18           	-6.34978527e-08	3.45380786e-01	-1.33181370e-05	-6.72256635e-06	-6.59557064e-06
1.2            	-6.60186088e-08	3.50792625e-01	-3.83447112e-06	-1.98325417e-06	-1.85121695e-06
1.22           	-6.94887792e-08	3.56957588e-01	-1.36198329e-07	-1.37587943e-07	1.38961492e-09
1.24           	-7.15654548e-08	3.63878263e-01	-4.23113431e-06	-2.18713261e-06	-2.04400170e-06
1.26           	-7.30097424e-08	3.73469102e-01	-8.79596495e-06	-4.47099222e-06	-4.32497273e-06
1.28           	-7.40175126e-08	3.80337770e-01	-9.85435134e-06	-5.00119318e-06	-4.85315816e-06
1.3            	-7.51490922e-08	3.85541386e-01	-8.52731261e-06	-4.33880540e-06	-4.18850722e-06
1.32           	-8.24662505e-08	3.91216806e-01	-1.01840041e-05	-5.17446830e-06	-5.00953579e-06
1.34           	-8.26458236e-08	3.97131730e-01	-1.15591128e-05	-5.86220222e-06	-5.69691057e-06
1.36           	-7.92151740e-08	4.03302591e-01	-8.85861560e-06	-4.50852297e-06	-4.35009263e-06
1.38           	-8.69782460e-08	4.09171644e-01	-3.48681978e-06	-1.83038814e-06	-1.65643164e-06
1.4            	-8.72328432e-08	4.16875866e-01	-9.83600337e-06	-5.00523453e-06	-4.83076884e-06
1.42           	-8.74028249e-08	4.24261060e-01	-6.16247999e-06	-3.16864282e-06	-2.99383717e-06
1.44           	-8.78205458e-08	4.31735457e-01	-6.45698542e-06	-3.31631325e-06	-3.14067216e-06
1.46           	-8.86332106e-08	4.37684093e-01	-7.88910692e-06	-4.03318667e-06	-3.85592025e-06
1.48           	-8.82715220e-08	4.44685040e-01	-1.13254754e-05	-5.75100921e-06	-5.57446617e-06
1.5            	-8.79237816e-08	4.52456858e-01	-6.11546316e-06	-3.14565536e-06	-2.96980780e-06
1.52           	-8.73519458e-08	4.60754114e-01	-2.74523726e-06	-1.45997058e-06	-1.28526669e-06
1.54           	-9.27430853e-08	4.69966347e-01	-7.55724893e-06	-3.87136755e-06	-3.68588138e-06
1.56           	-1.10805738e-07	4.79162842e-01	-8.57887652e-06	-4.40024400e-06	-4.17863252e-06
1.58           	-1.32155545e-07	4.81321897e-01	-1.21977341e-05	-6.23102259e-06	-5.96671150e-06
1.6            	-1.49514248e-07	4.87633376e-01	-1.39506627e-05	-7.12484562e-06	-6.82581712e-06
1.62           	-1.58150836e-07	4.96011743e-01	-1.93787427e-05	-9.84752220e-06	-9.53122053e-06
1.64           	-1.59305788e-07	5.05022571e-01	-2.66936545e-05	-1.35061330e-05	-1.31875214e-05
1.66           	-1.55106714e-07	5.11582176e-01	-1.93432508e-05	-9.82673212e-06	-9.51651869e-06
1.68           	-1.56631580e-07	5.20127371e-01	-4.56246600e-05	-2.29689616e-05	-2.26556984e-05
1.7            	-6.73323189e-08	5.29459077e-01	-1.63214920e-05	-8.22807833e-06	-8.09341369e-06
1.72           	-4.45231300e-08	5.39145946e-01	2.19097754e-06	1.05096564e-06	1.14001190e-06
1.74           	-2.78380087e-08	5.48247845e-01	4.93830727e-05	2.46636984e-05	2.47193744e-05
1.76           	-2.82377087e-08	5.55795972e-01	-2.31674735e-05	-1.16119744e-05	-1.15554990e-05
1.78           	-1.11481234e-08	5.65629291e-01	-3.70223256e-05	-1.85223109e-05	-1.85000147e-05
1.8            	3.87672226e-09	5.75956217e-01	-3.19456901e-05	-1.59689683e-05	-1.59767218e-05
1.82           	1.47034516e-08	5.86106241e-01	-5.56823203e-05	-2.78264567e-05	-2.78558636e-05
1.84           	3.09651289e-08	5.94091746e-01	-1.18362615e-05	-5.88716564e-06	-5.94909589e-06
1.86           	3.70948832e-08	6.02391006e-01	-3.20194072e-06	-1.56387548e-06	-1.63806524e-06
1.88           	5.26643844e-08	6.11209957e-01	-5.11263849e-06	-2.50365486e-06	-2.60898363e-06
1.9            	1.38110167e-07	6.22766570e-01	-1.30286846e-05	-6.37623215e-06	-6.65245249e-06
1.92           	8.36505866e-08	6.34788533e-01	-7.55231097e-06	-3.69250490e-06	-3.85980607e-06
1.94           	6.71469723e-09	6.38640133e-01	1.72418346e-05	8.62763198e-06	8.61420259e-06
1.96           	-3.85477570e-08	6.48803353e-01	-1.70812024e-06	-8.92607879e-07	-8.15512365e-07
1.98           	-4.69340515e-08	6.59341944e-01	-1.04027076e-05	-5.24828785e-06	-5.15441975e-06
2              	-5.12266914e-08	6.70163652e-01	-1.50783935e-05	-7.59042346e-06	-7.48797008e-06
2.02           	-5.52823367e-08	6.81561344e-01	-1.75343919e-05	-8.82247827e-06	-8.71191360e-06
2.04           	-5.91832851e-08	6.90832982e-01	-1.56158105e-05	-7.86708853e-06	-7.74872196e-06
2.06           	-8.12136756e-08	7.02310808e-01	-1.62541237e-05	-8.20827553e-06	-8.04584818e-06
2.08           	-1.27858747e-07	7.17371466e-01	-6.21659258e-06	-3.23615504e-06	-2.98043754e-06
2.1            	-1.75114103e-07	7.22155473e-01	-1.56440446e-05	-7.99713641e-06	-7.64690821e-06
2.12           	-2.20887574e-07	7.30748898e-01	-1.57099195e-05	-8.07584734e-06	-7.63407219e-06
2.14           	-2.66317080e-07	7.37336152e-01	-1.58098258e-05	-8.17122997e-06	-7.63859581e-06
2.16           	-3.10524613e-07	7.46600751e-01	-2.25598008e-05	-1.15904250e-05	-1.09693758e-05
2.18           	-3.51021098e-07	7.57266924e-01	-3.05506679e-05	-1.56263551e-05	-1.49243129e-05
2.2            	-3.77828958e-07	7.70885847e-01	-3.42199714e-05	-1.74878147e-05	-1.67321567e-05
2.22           	-3.81732598e-07	7.77999420e-01	-3.06371573e-05	-1.57003113e-05	-1.49368461e-05
2.24           	-3.83444465e-07	7.86998156e-01	-3.04272851e-05	-1.55970870e-05	-1.48301981e-05
2.26           	-3.85079490e-07	7.97903197e-01	9.96840052e-06	4.59912077e-06	5.36927975e-06
2.28           	-3.87954496e-07	8.10339846e-01	-1.78001439e-05	-9.28802643e-06	-8.51211743e-06
2.3            	-3.90052128e-07	8.20171057e-01	-7.36819516e-07	-7.58461886e-07	2.16423700e-08
