# Force coefficients
# liftDir      : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# dragDir      : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# pitchAxis    : (0.00000000e+00 0.00000000e+00 1.00000000e+00)
# magUInf      : 1.00000000e+00
# lRef         : 2.00000000e+00
# Aref         : 2.00000000e+00
# CofR         : (0.00000000e+00 0.00000000e+00 0.00000000e+00)
#              
# Time         	Cm             	Cd             	Cl             	Cl(f)          	Cl(r)          
0.02           	-7.61742974e-08	1.54102965e+02	3.70605705e-05	1.84541109e-05	1.86064595e-05
0.04           	1.37034234e-07	5.41244456e+00	-6.87853109e-06	-3.30223131e-06	-3.57629978e-06
0.06           	1.06094634e-07	-1.61615404e+01	-1.14041889e-04	-5.69148499e-05	-5.71270391e-05
0.08           	4.79304238e-08	-1.13590695e+01	1.27538062e-04	6.38169613e-05	6.37211004e-05
0.1            	-2.85824733e-09	-6.20072291e+00	3.07252701e-05	1.53597768e-05	1.53654933e-05
0.12           	-5.52958059e-08	-3.14819321e+00	5.04353436e-05	2.51623760e-05	2.52729676e-05
0.14           	-5.09816176e-08	-1.54108355e+00	-1.09293389e-05	-5.51565108e-06	-5.41368784e-06
0.16           	-5.49986221e-08	-7.15903791e-01	-2.33606827e-05	-1.17353400e-05	-1.16253427e-05
0.18           	4.97008821e-08	-2.72891288e-01	-3.30495751e-05	-1.64750867e-05	-1.65744884e-05
0.2            	1.59154668e-07	-1.42474866e-02	-1.02780246e-05	-4.97985763e-06	-5.29816696e-06
0.22           	8.83809847e-08	1.51172473e-01	-1.40455473e-05	-6.93439265e-06	-7.11115462e-06
0.24           	-1.28841205e-08	2.64794639e-01	-2.33510200e-06	-1.18043512e-06	-1.15466688e-06
0.26           	-1.19063158e-09	3.46561406e-01	-9.57597251e-06	-4.78917689e-06	-4.78679562e-06
0.28           	7.44829705e-09	4.07202600e-01	1.65786044e-06	8.36378519e-07	8.21481925e-07
0.3            	1.55512773e-08	4.52542650e-01	1.53947103e-05	7.71290641e-06	7.68180385e-06
0.32           	2.25904684e-08	4.86940641e-01	5.08530025e-06	2.56524059e-06	2.52005965e-06
0.34           	2.87868413e-08	5.13244471e-01	-1.22882198e-05	-6.11532304e-06	-6.17289672e-06
0.36           	3.39242755e-08	5.33398048e-01	1.04049089e-05	5.23637871e-06	5.16853016e-06
0.38           	3.72821182e-08	5.48968172e-01	1.64545516e-06	8.60009698e-07	7.85445461e-07
0.4            	4.10584947e-08	5.61056621e-01	-3.37289647e-07	-1.27586329e-07	-2.09703318e-07
0.42           	4.48807993e-08	5.70362071e-01	-7.29484614e-08	8.40656862e-09	-8.13550300e-08
0.44           	4.88221540e-08	5.77551802e-01	-9.85725370e-07	-4.44040531e-07	-5.41684839e-07
0.46           	5.28279567e-08	5.83256416e-01	-3.23971834e-06	-1.56703122e-06	-1.67268713e-06
0.48           	5.67364029e-08	5.87694841e-01	-3.83151621e-06	-1.85902170e-06	-1.97249451e-06
0.5            	6.06095585e-08	5.91305291e-01	1.54822591e-07	1.38020854e-07	1.68017368e-08
0.52           	6.48464810e-08	5.94277235e-01	-1.44353913e-06	-6.56923086e-07	-7.86616048e-07
0.54           	6.87290325e-08	5.96845993e-01	-1.24174445e-06	-5.52143191e-07	-6.89601256e-07
0.56           	7.08133820e-08	5.99140082e-01	-1.18598126e-06	-5.22177246e-07	-6.63804010e-07
0.58           	7.10786828e-08	6.01330116e-01	-1.82464887e-06	-8.41245751e-07	-9.83403116e-07
0.6            	7.05644772e-08	6.03402513e-01	-2.02646209e-06	-9.42666568e-07	-1.08379552e-06
0.62           	7.04814418e-08	6.05499370e-01	-9.24431959e-07	-3.91734538e-07	-5.32697422e-07
0.64           	7.06886583e-08	6.07873572e-01	3.91393354e-07	2.66385335e-07	1.25008019e-07
0.66           	7.25480450e-08	6.10519425e-01	3.99993656e-06	2.07251633e-06	1.92742024e-06
0.68           	-1.98973049e-08	6.10225315e-01	5.40716670e-06	2.68368604e-06	2.72348065e-06
0.7            	7.10929254e-08	6.10449644e-01	2.97008389e-06	1.55613487e-06	1.41394902e-06
0.72           	6.42361581e-08	6.12445343e-01	-9.40992105e-06	-4.64072437e-06	-4.76919668e-06
0.74           	5.83916660e-08	6.12301216e-01	-8.29731751e-06	-4.09026709e-06	-4.20705042e-06
0.76           	5.27382583e-08	6.14712374e-01	-7.71985494e-06	-3.80718921e-06	-3.91266573e-06
0.78           	4.06091786e-08	6.18376760e-01	-5.14296177e-06	-2.53087171e-06	-2.61209007e-06
0.8            	3.47378036e-08	6.21793242e-01	-1.30365396e-06	-6.17089174e-07	-6.86564782e-07
0.82           	2.79393426e-08	6.25399647e-01	-9.77960877e-07	-4.61041096e-07	-5.16919781e-07
0.84           	2.21733870e-08	6.29385601e-01	-1.07895530e-06	-5.17304262e-07	-5.61651035e-07
0.86           	2.70048655e-08	6.32840313e-01	1.28914319e-05	6.47272079e-06	6.41871106e-06
0.88           	4.30295960e-09	6.36976832e-01	-1.07507020e-05	-5.37104806e-06	-5.37965397e-06
0.9            	-1.33854320e-09	6.40641200e-01	-1.33104016e-05	-6.65653933e-06	-6.65386224e-06
0.92           	1.58551420e-09	6.44780879e-01	-1.15894380e-05	-5.79313349e-06	-5.79630452e-06
0.94           	-3.73625349e-09	6.48838651e-01	-6.23722649e-06	-3.12234950e-06	-3.11487699e-06
0.96           	2.22129547e-09	6.54167972e-01	1.23131743e-06	6.17880012e-07	6.13437421e-07
0.98           	-2.14058246e-08	6.60150094e-01	7.60557182e-06	3.78138009e-06	3.82419174e-06
1              	-2.22727157e-08	6.65091457e-01	7.30506754e-06	3.63026106e-06	3.67480649e-06
1.02           	-2.68030815e-08	6.68807472e-01	7.85017871e-06	3.89828627e-06	3.95189244e-06
1.04           	-3.37728155e-08	6.75192533e-01	-1.17264103e-05	-5.89697798e-06	-5.82943235e-06
1.06           	-5.28963147e-08	6.80513349e-01	-7.50758056e-06	-3.80668660e-06	-3.70089397e-06
1.08           	-1.14947496e-07	6.86006194e-01	-1.29968578e-05	-6.61337638e-06	-6.38348138e-06
1.1            	-1.77593306e-07	6.91514031e-01	-1.35607632e-05	-6.95797491e-06	-6.60278830e-06
1.12           	-2.70225103e-07	6.97864423e-01	-1.39295387e-05	-7.23499444e-06	-6.69454424e-06
1.14           	-2.76722324e-07	7.03408403e-01	-2.08833770e-05	-1.07184108e-05	-1.01649662e-05
1.16           	-2.70594741e-07	7.11006506e-01	-9.92124927e-06	-5.23121937e-06	-4.69002989e-06
