# Force coefficients
# liftDir      : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# dragDir      : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# pitchAxis    : (0.00000000e+00 0.00000000e+00 1.00000000e+00)
# magUInf      : 1.00000000e+00
# lRef         : 2.00000000e+00
# Aref         : 2.00000000e+00
# CofR         : (0.00000000e+00 0.00000000e+00 0.00000000e+00)
#              
# Time         	Cm             	Cd             	Cl             	Cl(f)          	Cl(r)          
0.02           	-9.50787517e-09	1.53285658e+02	3.93973819e-05	1.96891831e-05	1.97081988e-05
0.04           	1.66748825e-08	5.12641524e+00	-6.73002654e-06	-3.34833839e-06	-3.38168815e-06
0.06           	1.12141115e-08	-1.67383482e+01	-9.01216421e-05	-4.50496069e-05	-4.50720351e-05
0.08           	2.91901432e-09	-1.19855587e+01	9.08736800e-05	4.54397590e-05	4.54339210e-05
0.1            	-3.45092416e-09	-6.88110046e+00	1.70604936e-05	8.52679587e-06	8.53369771e-06
0.12           	-7.57722523e-09	-3.82120817e+00	8.54482037e-05	4.27165246e-05	4.27316791e-05
0.14           	3.12011333e-08	-2.18861261e+00	-3.24902287e-05	-1.62139132e-05	-1.62763155e-05
0.16           	7.61039916e-08	-1.33687057e+00	-3.49621159e-05	-1.74049540e-05	-1.75571619e-05
0.18           	8.25158460e-08	-8.70339744e-01	-5.41513009e-05	-2.69931346e-05	-2.71581663e-05
0.2            	6.90889797e-08	-5.90416920e-01	-2.22197907e-05	-1.10408064e-05	-1.11789843e-05
0.22           	5.07069239e-08	-4.05077178e-01	-7.89005925e-06	-3.89432270e-06	-3.99573655e-06
0.24           	4.29136158e-08	-2.72720680e-01	-1.01456964e-05	-5.02993461e-06	-5.11576184e-06
0.26           	4.83339984e-08	-1.73737957e-01	-1.13813531e-05	-5.64234254e-06	-5.73901053e-06
0.28           	6.00054757e-08	-9.75998036e-02	-2.11205108e-05	-1.05002499e-05	-1.06202609e-05
0.3            	7.19231933e-08	-3.79434336e-02	-2.29525028e-05	-1.14043282e-05	-1.15481746e-05
0.32           	7.61807011e-08	9.48952092e-03	-2.03757642e-05	-1.01117014e-05	-1.02640628e-05
0.34           	6.40420437e-08	4.74541120e-02	-1.95133060e-05	-9.69261095e-06	-9.82069503e-06
0.36           	5.48974360e-08	7.81851241e-02	-1.39637797e-05	-6.92699239e-06	-7.03678726e-06
0.38           	5.11459095e-08	1.03306453e-01	-9.59923747e-06	-4.74847282e-06	-4.85076464e-06
0.4            	5.42395240e-08	1.24033923e-01	-8.36741935e-06	-4.12947015e-06	-4.23794920e-06
0.42           	5.92235635e-08	1.41339960e-01	-9.39271347e-06	-4.63713317e-06	-4.75558030e-06
0.44           	6.39019087e-08	1.55898443e-01	-6.61437856e-06	-3.24328737e-06	-3.37109119e-06
0.46           	6.68452110e-08	1.68256641e-01	-1.68833898e-05	-8.37484968e-06	-8.50854010e-06
0.48           	6.88141660e-08	1.78826433e-01	-2.04234593e-05	-1.01429155e-05	-1.02805438e-05
0.5            	7.03756032e-08	1.87948185e-01	-2.43854621e-05	-1.21223555e-05	-1.22631067e-05
0.52           	6.80674208e-08	1.95907117e-01	-1.83024610e-05	-9.08316306e-06	-9.21929790e-06
0.54           	6.12881896e-08	2.02977785e-01	-1.73457419e-05	-8.61158274e-06	-8.73415912e-06
0.56           	5.39722050e-08	2.09310771e-01	-2.44382132e-05	-1.21651344e-05	-1.22730788e-05
0.58           	4.71352532e-08	2.15059121e-01	-8.45221870e-06	-4.17897410e-06	-4.27324460e-06
0.6            	4.12865297e-08	2.20474672e-01	-1.24972649e-05	-6.20734592e-06	-6.28991898e-06
0.62           	3.61015456e-08	2.25742990e-01	-7.06799402e-06	-3.49789546e-06	-3.57009855e-06
0.64           	3.15793897e-08	2.30939899e-01	-8.00935597e-06	-3.97309860e-06	-4.03625738e-06
0.66           	2.76381784e-08	2.35964490e-01	-6.25689973e-06	-3.10081168e-06	-3.15608804e-06
0.68           	2.40866653e-08	2.40759344e-01	-3.40638923e-06	-1.67910795e-06	-1.72728128e-06
0.7            	2.06117863e-08	2.45283251e-01	-8.89709046e-06	-4.42793344e-06	-4.46915701e-06
0.72           	1.67425738e-08	2.49754070e-01	-5.49778160e-06	-2.73214823e-06	-2.76563337e-06
0.74           	1.23522030e-08	2.54231636e-01	-6.78956286e-06	-3.38242922e-06	-3.40713363e-06
0.76           	6.50677083e-09	2.58634195e-01	-9.50058111e-06	-4.74378378e-06	-4.75679732e-06
0.78           	1.59764443e-09	2.63247819e-01	-1.16558647e-05	-5.82633472e-06	-5.82953001e-06
0.8            	-5.11055598e-09	2.65392375e-01	-1.15438322e-05	-5.77702664e-06	-5.76680553e-06
0.82           	-1.23294301e-08	2.66617138e-01	-1.09508723e-05	-5.48776559e-06	-5.46310673e-06
0.84           	-2.00765681e-08	2.67546039e-01	-1.24243378e-05	-6.23224548e-06	-6.19209234e-06
0.86           	-2.66510640e-08	2.70170174e-01	-1.18570181e-05	-5.95516011e-06	-5.90185798e-06
0.88           	-3.20303923e-08	2.70704664e-01	-2.35854290e-05	-1.18247449e-05	-1.17606841e-05
0.9            	-3.64170888e-08	2.73748892e-01	-6.33919439e-06	-3.20601428e-06	-3.13318011e-06
0.92           	-4.02541990e-08	2.76599877e-01	-4.13854363e-06	-2.10952601e-06	-2.02901762e-06
0.94           	-4.37747037e-08	2.81454242e-01	-1.43665614e-06	-7.62102775e-07	-6.74553368e-07
0.96           	-4.59174954e-08	2.85419953e-01	-2.87616541e-06	-1.48400020e-06	-1.39216521e-06
0.98           	-4.80021773e-08	2.90073342e-01	-3.17901994e-06	-1.63751215e-06	-1.54150779e-06
1              	-4.96583084e-08	2.94720295e-01	-2.27788303e-06	-1.18859982e-06	-1.08928321e-06
1.02           	-5.11985577e-08	2.99430253e-01	-6.53726317e-06	-3.31983014e-06	-3.21743303e-06
1.04           	-5.21512243e-08	3.04220029e-01	-8.85886987e-06	-4.48158616e-06	-4.37728371e-06
1.06           	-5.34512884e-08	3.09211058e-01	-9.90361927e-06	-5.00526092e-06	-4.89835835e-06
1.08           	-5.54313385e-08	3.13445271e-01	-1.33154940e-05	-6.71317835e-06	-6.60231568e-06
1.1            	-5.66762596e-08	3.18167456e-01	-1.29751649e-05	-6.54425872e-06	-6.43090620e-06
1.12           	-5.76063532e-08	3.23228772e-01	-1.92296622e-05	-9.67243743e-06	-9.55722472e-06
1.14           	-5.89278945e-08	3.27728615e-01	-1.18837160e-05	-6.00078587e-06	-5.88293008e-06
1.16           	-6.02593587e-08	3.33238926e-01	-9.67815590e-06	-4.89933731e-06	-4.77881859e-06
1.18           	-6.15150624e-08	3.38927307e-01	-6.63718452e-06	-3.38010732e-06	-3.25707720e-06
1.2            	-6.34429185e-08	3.44486429e-01	3.38818505e-06	1.63064961e-06	1.75753545e-06
1.22           	-6.57550828e-08	3.50182198e-01	6.32855250e-06	3.09852117e-06	3.23003133e-06
1.24           	-6.89261799e-08	3.57092223e-01	4.31233790e-06	2.08724277e-06	2.22509513e-06
1.26           	-7.10640461e-08	3.65365288e-01	-2.85260776e-06	-1.49736793e-06	-1.35523983e-06
1.28           	-7.33040846e-08	3.74772380e-01	2.34163493e-06	1.09751338e-06	1.24412155e-06
1.3            	-7.49337142e-08	3.79060502e-01	-4.93664129e-06	-2.54325436e-06	-2.39338693e-06
1.32           	-7.66679157e-08	3.84418058e-01	-6.69055306e-06	-3.42194445e-06	-3.26860862e-06
1.34           	-8.46637325e-08	3.90123430e-01	-7.87717814e-06	-4.02325280e-06	-3.85392534e-06
1.36           	-8.26854527e-08	3.96162334e-01	-7.96572185e-06	-4.06554638e-06	-3.90017547e-06
1.38           	-9.04379689e-08	4.02274004e-01	-6.31457258e-06	-3.24772426e-06	-3.06684832e-06
1.4            	-9.06272985e-08	4.08602672e-01	-7.51161068e-06	-3.84643264e-06	-3.66517804e-06
1.42           	-9.10090739e-08	4.16633531e-01	-5.60000023e-07	-3.71009085e-07	-1.88990938e-07
1.44           	-9.12576561e-08	4.24363207e-01	1.58494323e-06	7.01213960e-07	8.83729272e-07
1.46           	-9.18926810e-08	4.30477089e-01	1.65038766e-06	7.33301149e-07	9.17086511e-07
1.48           	-9.17419718e-08	4.36949705e-01	-1.94961926e-06	-1.06655160e-06	-8.83067657e-07
1.5            	-9.17189649e-08	4.44583215e-01	2.68151147e-06	1.24903677e-06	1.43247470e-06
1.52           	-9.18623915e-08	4.52549961e-01	5.15223910e-06	2.48425716e-06	2.66798194e-06
1.54           	-9.20126146e-08	4.61360026e-01	4.32518247e-06	2.07057862e-06	2.25460385e-06
1.56           	-9.85701201e-08	4.71762400e-01	3.28233141e-06	1.54259558e-06	1.73973582e-06
1.58           	-1.16497945e-07	4.75414264e-01	3.01115046e-07	3.40595778e-08	2.67055468e-07
1.6            	-1.37765403e-07	4.79455068e-01	-4.73195444e-06	-2.50374262e-06	-2.22821182e-06
1.62           	-1.53529860e-07	4.87518128e-01	-7.84769891e-06	-4.07737931e-06	-3.77031959e-06
