# Force coefficients
# liftDir      : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# dragDir      : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# pitchAxis    : (0.00000000e+00 0.00000000e+00 1.00000000e+00)
# magUInf      : 1.00000000e+00
# lRef         : 2.00000000e+00
# Aref         : 2.00000000e+00
# CofR         : (0.00000000e+00 0.00000000e+00 0.00000000e+00)
#              
# Time         	Cm             	Cd             	Cl             	Cl(f)          	Cl(r)          
0.02           	-8.30313440e-06	1.92553119e+02	-1.63179212e-03	-8.24199196e-04	-8.07592928e-04
0.04           	-5.55183036e-06	9.65547840e+00	1.14592637e-03	5.67411357e-04	5.78515018e-04
0.06           	-4.16254220e-06	-4.09175937e+00	9.71514765e-05	4.44131960e-05	5.27382804e-05
0.08           	-3.21179273e-06	2.33905595e+00	7.62879487e-05	3.49321816e-05	4.13557671e-05
0.1            	-2.54540428e-06	7.56341321e+00	1.38334374e-04	6.66217828e-05	7.17125914e-05
0.12           	-2.07084841e-06	9.46664538e+00	7.51050145e-05	3.54816588e-05	3.96233556e-05
0.14           	-1.71387222e-06	9.66527667e+00	4.80590069e-05	2.23156312e-05	2.57433757e-05
0.16           	-1.42341107e-06	9.30506647e+00	8.25340315e-05	3.98436047e-05	4.26904268e-05
0.18           	-1.17794104e-06	8.85661899e+00	9.36444339e-05	4.56442759e-05	4.80001580e-05
0.2            	-9.68233612e-07	8.46000310e+00	9.64334544e-05	4.72484936e-05	4.91849608e-05
0.22           	-7.88035918e-07	8.12851784e+00	9.08948631e-05	4.46593957e-05	4.62354675e-05
0.24           	-6.30702860e-07	7.84606048e+00	8.47342571e-05	4.17364257e-05	4.29978314e-05
0.26           	-4.93578047e-07	7.59948491e+00	7.89690906e-05	3.89909672e-05	3.99781233e-05
0.28           	-3.72560348e-07	7.38073749e+00	7.35133640e-05	3.63841216e-05	3.71292423e-05
0.3            	-2.64723642e-07	7.18479625e+00	6.90989256e-05	3.42847392e-05	3.48141864e-05
0.32           	-1.67802459e-07	7.00756001e+00	6.48490781e-05	3.22567366e-05	3.25923415e-05
0.34           	-7.87754001e-08	6.84552207e+00	6.17068196e-05	3.07746344e-05	3.09321852e-05
0.36           	2.24574646e-09	6.69722543e+00	5.87061673e-05	2.93553294e-05	2.93508379e-05
0.38           	7.65316765e-08	6.56118751e+00	5.63228466e-05	2.82379550e-05	2.80848916e-05
0.4            	1.45221238e-07	6.43598567e+00	5.33662693e-05	2.68283559e-05	2.65379134e-05
0.42           	2.08982774e-07	6.32002308e+00	5.11946827e-05	2.58063241e-05	2.53883586e-05
0.44           	2.68333591e-07	6.21228294e+00	4.87762601e-05	2.46564636e-05	2.41197964e-05
0.46           	3.23738385e-07	6.11170647e+00	4.82580978e-05	2.44527873e-05	2.38053105e-05
0.48           	3.76505031e-07	6.01763349e+00	4.44734611e-05	2.26132356e-05	2.18602255e-05
0.5            	4.25267652e-07	5.92963521e+00	4.26809689e-05	2.17657521e-05	2.09152168e-05
0.52           	4.70348795e-07	5.84706990e+00	4.10680474e-05	2.10043725e-05	2.00636749e-05
0.54           	5.12628692e-07	5.76939542e+00	3.94499901e-05	2.02376237e-05	1.92123663e-05
0.56           	5.52421440e-07	5.69624154e+00	3.79280828e-05	1.95164628e-05	1.84116199e-05
0.58           	5.90464668e-07	5.62712830e+00	3.65503805e-05	1.88656549e-05	1.76847256e-05
0.6            	6.26771246e-07	5.56163284e+00	3.51579556e-05	1.82057491e-05	1.69522066e-05
0.62           	6.61459306e-07	5.49956845e+00	3.39055432e-05	1.76142309e-05	1.62913123e-05
0.64           	6.94705111e-07	5.44070436e+00	3.26595748e-05	1.70244925e-05	1.56350823e-05
0.66           	7.26842118e-07	5.38476211e+00	3.13097795e-05	1.63817319e-05	1.49280476e-05
0.68           	7.58343496e-07	5.33151570e+00	2.99491488e-05	1.57329179e-05	1.42162309e-05
0.7            	7.88209540e-07	5.28076900e+00	2.87740388e-05	1.51752289e-05	1.35988099e-05
0.72           	8.16779326e-07	5.23234573e+00	2.77848290e-05	1.47091938e-05	1.30756352e-05
0.74           	8.44269163e-07	5.18603654e+00	2.68883587e-05	1.42884485e-05	1.25999102e-05
0.76           	8.71222290e-07	5.14173265e+00	2.59643816e-05	1.38534131e-05	1.21109685e-05
0.78           	8.97314771e-07	5.09932601e+00	2.50081031e-05	1.34013663e-05	1.16067368e-05
0.8            	9.22710659e-07	5.05873052e+00	2.39456486e-05	1.28955350e-05	1.10501137e-05
0.82           	9.47410898e-07	5.01975883e+00	2.30172756e-05	1.24560487e-05	1.05612269e-05
0.84           	9.71490993e-07	4.98235150e+00	2.22074146e-05	1.20751983e-05	1.01322163e-05
0.86           	9.94849441e-07	4.94641072e+00	2.01584228e-05	1.10740609e-05	9.08436198e-06
0.88           	1.01765358e-06	4.91182332e+00	2.06252589e-05	1.13302831e-05	9.29497589e-06
0.9            	1.04001249e-06	4.87850821e+00	1.99624641e-05	1.10212446e-05	8.94121957e-06
0.92           	1.06178745e-06	4.84641210e+00	1.93681233e-05	1.07458491e-05	8.62227418e-06
0.94           	1.08293324e-06	4.81546037e+00	1.83215205e-05	1.02436935e-05	8.07782703e-06
0.96           	1.10367524e-06	4.78558868e+00	1.76624343e-05	9.93489241e-06	7.72754192e-06
0.98           	1.12382350e-06	4.75676284e+00	1.68790569e-05	9.56335194e-06	7.31570494e-06
1              	1.14340860e-06	4.72892999e+00	1.63248172e-05	9.30581718e-06	7.01899998e-06
1.02           	1.16247640e-06	4.70201235e+00	1.56732866e-05	8.99911972e-06	6.67416692e-06
1.04           	1.18114192e-06	4.67596723e+00	1.50420458e-05	8.70216482e-06	6.33988099e-06
1.06           	1.19930003e-06	4.65075305e+00	1.44082943e-05	8.40344717e-06	6.00484711e-06
1.08           	1.21748121e-06	4.62635101e+00	1.37020832e-05	8.06852279e-06	5.63356036e-06
1.1            	1.23489389e-06	4.60270541e+00	1.29796446e-05	7.72471618e-06	5.25492840e-06
1.12           	1.25168417e-06	4.57981442e+00	1.22836108e-05	7.39348958e-06	4.89012124e-06
1.14           	1.26795218e-06	4.55759020e+00	1.18286838e-05	7.18229407e-06	4.64638972e-06
1.16           	1.28381063e-06	4.53601765e+00	1.13923739e-05	6.97999760e-06	4.41237634e-06
1.18           	1.29924790e-06	4.51507485e+00	1.08363193e-05	6.71740756e-06	4.11891177e-06
1.2            	1.31422961e-06	4.49472605e+00	1.04248397e-05	6.52664945e-06	3.89819024e-06
1.22           	1.32881673e-06	4.47494952e+00	9.95302546e-06	6.30532946e-06	3.64769600e-06
1.24           	1.34291626e-06	4.45572916e+00	9.29294175e-06	5.98938714e-06	3.30355461e-06
1.26           	1.35654307e-06	4.43703647e+00	8.78231109e-06	5.74769861e-06	3.03461248e-06
1.28           	1.36969324e-06	4.41885308e+00	8.19427748e-06	5.46683198e-06	2.72744550e-06
1.3            	1.38241354e-06	4.40117066e+00	7.62717990e-06	5.19600349e-06	2.43117641e-06
1.32           	1.39467681e-06	4.38395632e+00	7.16540238e-06	4.97737800e-06	2.18802438e-06
1.34           	1.40651243e-06	4.36718429e+00	6.79021720e-06	4.80162103e-06	1.98859617e-06
1.36           	1.41809825e-06	4.35084654e+00	6.46585077e-06	4.65102364e-06	1.81482714e-06
1.38           	1.42954677e-06	4.33491552e+00	6.00999051e-06	4.43454202e-06	1.57544849e-06
1.4            	1.44070952e-06	4.31938008e+00	5.57423233e-06	4.22782568e-06	1.34640665e-06
1.42           	1.45157690e-06	4.30422663e+00	5.23127984e-06	4.06721682e-06	1.16406302e-06
1.44           	1.46212327e-06	4.28944027e+00	4.79047279e-06	3.85735967e-06	9.33113118e-07
1.46           	1.47228821e-06	4.27499370e+00	4.41179745e-06	3.67818694e-06	7.33610513e-07
1.48           	1.48195169e-06	4.26089018e+00	3.85047257e-06	3.40718797e-06	4.43284594e-07
1.5            	1.49106990e-06	4.24711199e+00	3.48020809e-06	3.23117395e-06	2.49034141e-07
