# Force coefficients
# liftDir      : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# dragDir      : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# pitchAxis    : (0.00000000e+00 0.00000000e+00 1.00000000e+00)
# magUInf      : 1.00000000e+00
# lRef         : 2.00000000e+00
# Aref         : 2.00000000e+00
# CofR         : (0.00000000e+00 0.00000000e+00 0.00000000e+00)
#              
# Time         	Cm             	Cd             	Cl             	Cl(f)          	Cl(r)          
0.02           	-2.09278897e-07	1.57252080e+02	1.70731989e-05	8.32732055e-06	8.74587835e-06
0.04           	6.01531867e-07	6.41418664e+00	6.36910475e-06	3.78608424e-06	2.58302051e-06
0.06           	4.24521054e-07	-1.42031233e+01	-8.35914391e-05	-4.13711985e-05	-4.22202406e-05
0.08           	1.97568397e-07	-9.33364078e+00	1.84086470e-04	9.22408032e-05	9.18456665e-05
0.1            	1.62050523e-08	-4.14834372e+00	8.01882564e-06	4.02561787e-06	3.99320777e-06
0.12           	-5.56753108e-08	-1.20789630e+00	2.03869794e-05	1.01378144e-05	1.02491650e-05
0.14           	-7.56418665e-08	2.31323364e-01	-2.19663858e-05	-1.10588348e-05	-1.09075510e-05
0.16           	-6.26876550e-08	8.98841965e-01	-2.15608360e-05	-1.08431056e-05	-1.07177303e-05
0.18           	-3.74541273e-08	1.20533184e+00	-1.50872281e-05	-7.58106820e-06	-7.50615994e-06
0.2            	-7.27726178e-09	1.34787134e+00	-1.96796865e-06	-9.91261585e-07	-9.76707062e-07
0.22           	1.83687084e-08	1.41366357e+00	1.51712096e-06	7.76929186e-07	7.40191769e-07
0.24           	3.49944041e-08	1.44194748e+00	4.65858792e-06	2.36428836e-06	2.29429955e-06
0.26           	4.92987366e-08	1.45024096e+00	1.72598062e-07	1.35597767e-07	3.70002943e-08
0.28           	6.05711224e-08	1.44735958e+00	-1.94011536e-06	-9.09486555e-07	-1.03062880e-06
0.3            	6.94165107e-08	1.43792543e+00	-1.14190352e-06	-5.01535247e-07	-6.40368269e-07
0.32           	7.62439551e-08	1.42434675e+00	-1.34576403e-06	-5.96638057e-07	-7.49125968e-07
