# Force coefficients
# liftDir      : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# dragDir      : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# pitchAxis    : (0.00000000e+00 0.00000000e+00 1.00000000e+00)
# magUInf      : 1.00000000e+00
# lRef         : 2.00000000e+00
# Aref         : 2.00000000e+00
# CofR         : (0.00000000e+00 0.00000000e+00 0.00000000e+00)
#              
# Time         	Cm             	Cd             	Cl             	Cl(f)          	Cl(r)          
0.02           	-1.24701029e-07	1.54652998e+02	3.85093319e-05	1.91299649e-05	1.93793670e-05
0.04           	2.24221765e-07	5.60592487e+00	-4.28769006e-06	-1.91962327e-06	-2.36806679e-06
0.06           	1.72721599e-07	-1.57875240e+01	-1.11757518e-04	-5.57060374e-05	-5.60514806e-05
0.08           	6.75496160e-08	-1.09580964e+01	1.29122163e-04	6.46286309e-05	6.44935317e-05
0.1            	-3.79519890e-09	-5.77814195e+00	3.45380778e-05	1.72652437e-05	1.72728341e-05
0.12           	-4.30331511e-08	-2.73673452e+00	3.82541566e-05	1.90840451e-05	1.91701114e-05
0.14           	-6.16300227e-08	-1.15341846e+00	-3.13104890e-06	-1.62715447e-06	-1.50389443e-06
0.16           	-6.77404199e-08	-3.51409800e-01	-2.98098374e-05	-1.49726591e-05	-1.48371783e-05
0.18           	-6.16883129e-08	7.11754210e-02	-1.46231016e-05	-7.37323913e-06	-7.24986250e-06
0.2            	-5.14243887e-08	3.11409757e-01	-1.34815472e-05	-6.79219799e-06	-6.68934921e-06
0.22           	-3.80764661e-08	4.60341222e-01	-5.89150441e-06	-2.98382867e-06	-2.90767574e-06
0.24           	-2.24150637e-08	5.58988499e-01	-2.55958831e-05	-1.28203566e-05	-1.27755265e-05
0.26           	-7.15749086e-09	6.27668301e-01	1.25288718e-05	6.25727840e-06	6.27159338e-06
0.28           	5.65877905e-09	6.76258145e-01	6.03338324e-06	3.02235040e-06	3.01103284e-06
0.3            	1.55456199e-08	7.10931753e-01	-2.90752707e-06	-1.43821792e-06	-1.46930916e-06
0.32           	2.27856816e-08	7.35608973e-01	2.19265454e-05	1.09860584e-05	1.09404870e-05
0.34           	2.86316445e-08	7.53072873e-01	-4.30082023e-06	-2.12177847e-06	-2.17904176e-06
0.36           	3.34213447e-08	7.65319118e-01	-2.05848940e-06	-9.95823358e-07	-1.06266605e-06
0.38           	3.77972911e-08	7.73611597e-01	-2.92779481e-06	-1.42610012e-06	-1.50169470e-06
0.4            	4.23046334e-08	7.79001292e-01	-1.50266062e-06	-7.09025677e-07	-7.93634944e-07
0.42           	4.72542656e-08	7.82355045e-01	-1.80522134e-06	-8.55356402e-07	-9.49864933e-07
0.44           	5.22048304e-08	7.84358333e-01	-2.06650454e-06	-9.81047438e-07	-1.08545710e-06
0.46           	5.69183328e-08	7.85288041e-01	-1.35615460e-06	-6.21158965e-07	-7.34995631e-07
0.48           	6.08572659e-08	7.85534240e-01	-1.05713179e-06	-4.67708628e-07	-5.89423160e-07
0.5            	6.39098027e-08	7.85454967e-01	-1.08342506e-07	9.73854950e-09	-1.18081056e-07
0.52           	6.66251380e-08	7.85126007e-01	-2.22757115e-06	-1.04716044e-06	-1.18041071e-06
0.54           	6.90084384e-08	7.84493635e-01	-1.22170598e-06	-5.41844552e-07	-6.79861429e-07
0.56           	7.15284549e-08	7.84082426e-01	-1.74851102e-06	-8.02727053e-07	-9.45783963e-07
0.58           	7.36215748e-08	7.83853682e-01	-1.84298168e-06	-8.47869267e-07	-9.95112417e-07
0.6            	7.52950903e-08	7.83940869e-01	-8.30579221e-06	-4.07760101e-06	-4.22819119e-06
0.62           	7.60017735e-08	7.82808537e-01	-5.57921603e-08	4.81056934e-08	-1.03897854e-07
0.64           	7.63629110e-08	7.81001989e-01	1.93259331e-07	1.72992576e-07	2.02667543e-08
0.66           	7.57281179e-08	7.79661260e-01	1.56559238e-07	1.54007737e-07	2.55150114e-09
0.68           	7.19869155e-08	7.78349171e-01	-3.21260108e-07	-8.86431387e-08	-2.32616970e-07
0.7            	6.76458135e-08	7.78810820e-01	-3.06433975e-07	-8.55711741e-08	-2.20862801e-07
0.72           	6.13997209e-08	7.79832120e-01	-1.44892150e-06	-6.63061028e-07	-7.85860469e-07
0.74           	5.25303302e-08	7.81059472e-01	-2.47856399e-06	-1.18675166e-06	-1.29181232e-06
0.76           	4.41409098e-08	7.82523739e-01	-2.01330060e-06	-9.62509392e-07	-1.05079121e-06
0.78           	3.58980735e-08	7.84473442e-01	-2.73015942e-06	-1.32918164e-06	-1.40097779e-06
0.8            	2.74414830e-08	7.86362715e-01	-2.47347880e-06	-1.20929792e-06	-1.26418088e-06
0.82           	1.95666253e-08	7.88377381e-01	-2.68989593e-06	-1.32538134e-06	-1.36451459e-06
0.84           	1.21861255e-08	7.90317217e-01	-2.82766902e-06	-1.40164839e-06	-1.42602064e-06
0.86           	5.43056844e-09	7.92941326e-01	-1.75208901e-06	-8.70613937e-07	-8.81475074e-07
0.88           	-4.97317239e-09	7.95950712e-01	-1.93387706e-06	-9.71911703e-07	-9.61965359e-07
