# Force coefficients
# liftDir      : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# dragDir      : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# pitchAxis    : (0.00000000e+00 0.00000000e+00 1.00000000e+00)
# magUInf      : 1.00000000e+00
# lRef         : 2.00000000e+00
# Aref         : 2.00000000e+00
# CofR         : (0.00000000e+00 0.00000000e+00 0.00000000e+00)
#              
# Time         	Cm             	Cd             	Cl             	Cl(f)          	Cl(r)          
0.02           	-1.01251569e-08	1.53292943e+02	3.93214516e-05	1.96506006e-05	1.96708510e-05
0.04           	1.76380374e-08	5.12848924e+00	-6.57084938e-06	-3.26778665e-06	-3.30306273e-06
0.06           	1.18856759e-08	-1.67348461e+01	-9.03867724e-05	-4.51815005e-05	-4.52052719e-05
0.08           	3.14221490e-09	-1.19817127e+01	9.08699632e-05	4.54381238e-05	4.54318394e-05
0.1            	-3.58308150e-09	-6.87711500e+00	1.71096370e-05	8.55123539e-06	8.55840156e-06
0.12           	-7.95693642e-09	-3.81740481e+00	8.52693930e-05	4.26267396e-05	4.26426534e-05
0.14           	3.25459695e-08	-2.18498370e+00	-3.23128453e-05	-1.61238767e-05	-1.61889686e-05
0.16           	7.98195247e-08	-1.33337437e+00	-3.49526125e-05	-1.73964867e-05	-1.75561258e-05
0.18           	8.64752250e-08	-8.66940437e-01	-5.38846102e-05	-2.68558299e-05	-2.70287803e-05
0.2            	7.27477212e-08	-5.87089866e-01	-2.30018694e-05	-1.14281870e-05	-1.15736824e-05
0.22           	5.34446797e-08	-4.01827515e-01	-6.44324533e-06	-3.16817799e-06	-3.27506735e-06
0.24           	4.47981345e-08	-2.69548851e-01	-1.01572218e-05	-5.03381275e-06	-5.12340902e-06
0.26           	5.03479074e-08	-1.70639068e-01	-1.14059354e-05	-5.65261979e-06	-5.75331560e-06
0.28           	6.25992703e-08	-9.45696180e-02	-2.09759018e-05	-1.04253516e-05	-1.05505502e-05
0.3            	7.51211594e-08	-3.49725418e-02	-2.30165830e-05	-1.14331703e-05	-1.15834126e-05
0.32           	8.03269409e-08	1.23955945e-02	-2.00846023e-05	-9.96197421e-06	-1.01226281e-05
0.34           	6.78338826e-08	5.02978114e-02	-1.86453669e-05	-9.25484956e-06	-9.39051733e-06
0.36           	5.78251108e-08	8.09749561e-02	-1.35712004e-05	-6.72777509e-06	-6.84342532e-06
0.38           	5.32731518e-08	1.06047098e-01	-9.25187992e-06	-4.57266681e-06	-4.67921311e-06
0.4            	5.63620438e-08	1.26728562e-01	-7.95582897e-06	-3.92155244e-06	-4.03427653e-06
0.42           	6.16402793e-08	1.43993112e-01	-8.94190583e-06	-4.40931264e-06	-4.53259320e-06
0.44           	6.66445960e-08	1.58516595e-01	-8.36517138e-06	-4.11594109e-06	-4.24923028e-06
0.46           	6.98640451e-08	1.70833888e-01	-1.75549055e-05	-8.70758870e-06	-8.84731679e-06
0.48           	7.18428684e-08	1.81371525e-01	-2.30444858e-05	-1.14504000e-05	-1.15940858e-05
0.5            	7.32787170e-08	1.90460850e-01	-2.64062030e-05	-1.31298228e-05	-1.32763802e-05
0.52           	7.12882320e-08	1.98394238e-01	-2.49759162e-05	-1.24166699e-05	-1.25592463e-05
0.54           	6.42532081e-08	2.05437385e-01	-1.94273547e-05	-9.64942413e-06	-9.77793055e-06
0.56           	5.65769533e-08	2.11702084e-01	-2.48606158e-05	-1.23737310e-05	-1.24868849e-05
0.58           	4.94182129e-08	2.17520211e-01	-8.94865445e-06	-4.42490901e-06	-4.52374544e-06
0.6            	4.35052126e-08	2.22889056e-01	-1.26767920e-05	-6.29489078e-06	-6.38190121e-06
0.62           	3.76918809e-08	2.28184169e-01	-7.41582318e-06	-3.67021971e-06	-3.74560347e-06
0.64           	3.29305746e-08	2.33367238e-01	-8.92409574e-06	-4.42911729e-06	-4.49497844e-06
0.66           	2.86904407e-08	2.38390824e-01	-6.65500078e-06	-3.29880995e-06	-3.35619083e-06
0.68           	2.49406000e-08	2.43154766e-01	-4.12318746e-06	-2.03665313e-06	-2.08653433e-06
0.7            	2.14025457e-08	2.47680576e-01	-9.40849755e-06	-4.68284623e-06	-4.72565132e-06
0.72           	1.74177482e-08	2.52149669e-01	-4.50195206e-06	-2.23355828e-06	-2.26839378e-06
0.74           	1.32202052e-08	2.56570577e-01	-1.03828660e-05	-5.17821279e-06	-5.20465320e-06
0.76           	4.46868535e-09	2.60991386e-01	-9.84533102e-06	-4.91819683e-06	-4.92713420e-06
0.78           	3.04799111e-09	2.65614691e-01	-1.18355964e-05	-5.91475020e-06	-5.92084618e-06
0.8            	-3.19332289e-09	2.67539945e-01	-1.22663695e-05	-6.13637806e-06	-6.12999141e-06
0.82           	-1.04051971e-08	2.68761551e-01	-1.20903644e-05	-6.05558737e-06	-6.03477698e-06
0.84           	-1.83189869e-08	2.69661894e-01	-1.36082364e-05	-6.82243717e-06	-6.78579919e-06
0.86           	-2.51295159e-08	2.72621491e-01	-1.32905202e-05	-6.67038960e-06	-6.62013057e-06
0.88           	-3.06781185e-08	2.72806020e-01	-2.32294402e-05	-1.16453982e-05	-1.15840420e-05
0.9            	-3.52920725e-08	2.76157229e-01	-5.67053106e-06	-2.87055760e-06	-2.79997346e-06
0.92           	-3.92923841e-08	2.79006020e-01	-6.11330400e-06	-3.09594438e-06	-3.01735962e-06
0.94           	-4.30367627e-08	2.83729343e-01	-1.07372191e-06	-5.79897717e-07	-4.93824191e-07
0.96           	-4.53464477e-08	2.87919986e-01	-7.66452523e-06	-3.87760906e-06	-3.78691617e-06
0.98           	-4.75908528e-08	2.92598434e-01	-3.25647966e-06	-1.67583068e-06	-1.58064898e-06
