# Force coefficients
# liftDir      : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# dragDir      : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# pitchAxis    : (0.00000000e+00 0.00000000e+00 1.00000000e+00)
# magUInf      : 1.00000000e+00
# lRef         : 2.00000000e+00
# Aref         : 2.00000000e+00
# CofR         : (0.00000000e+00 0.00000000e+00 0.00000000e+00)
#              
# Time         	Cm             	Cd             	Cl             	Cl(f)          	Cl(r)          
0.02           	-9.13437026e-07	1.60709560e+02	1.68515542e-04	8.33443338e-05	8.51712078e-05
0.04           	4.79526449e-07	7.20294362e+00	-8.15117527e-05	-4.02763499e-05	-4.12354028e-05
0.06           	2.25725060e-07	-1.25213652e+01	8.47102084e-05	4.25808292e-05	4.21293791e-05
0.08           	-6.92793675e-08	-7.71596943e+00	1.70555497e-04	8.52084692e-05	8.53470279e-05
0.1            	-2.63248514e-07	-2.64390614e+00	-2.44202168e-06	-1.48425935e-06	-9.57762325e-07
0.12           	-3.29473030e-07	1.30724530e-01	1.92042562e-05	9.27265508e-06	9.93160114e-06
0.14           	-3.40506216e-07	1.39397327e+00	-3.15066646e-05	-1.60938385e-05	-1.54128261e-05
0.16           	-3.21351984e-07	1.91138831e+00	-1.98186011e-05	-1.02306525e-05	-9.58794856e-06
0.18           	-2.93128006e-07	2.09948973e+00	-1.04089615e-05	-5.49760876e-06	-4.91135275e-06
0.2            	-2.64199926e-07	2.14976195e+00	-5.28219799e-06	-2.90529892e-06	-2.37689907e-06
0.22           	-2.38013593e-07	2.14441963e+00	-3.05088694e-06	-1.76345706e-06	-1.28742988e-06
0.24           	-2.15397563e-07	2.11780278e+00	-1.01502059e-06	-7.22907860e-07	-2.92112735e-07
0.26           	-1.96108489e-07	2.08486314e+00	-1.37522704e-06	-8.83722011e-07	-4.91505032e-07
0.28           	-1.80257143e-07	2.05008886e+00	-1.69156720e-06	-1.02604074e-06	-6.65526457e-07
0.3            	-1.66946778e-07	2.01526976e+00	-2.40767635e-06	-1.37078495e-06	-1.03689140e-06
0.32           	-1.55582096e-07	1.98134202e+00	-1.56572287e-06	-9.38443529e-07	-6.27279336e-07
0.34           	-1.45765807e-07	1.94903952e+00	-1.28660154e-06	-7.89066578e-07	-4.97534964e-07
0.36           	-1.37143339e-07	1.91841116e+00	-1.06706988e-06	-6.70678277e-07	-3.96391600e-07
0.38           	-1.29406339e-07	1.88961032e+00	-9.49196856e-07	-6.04004767e-07	-3.45192089e-07
0.4            	-1.22517666e-07	1.86281489e+00	-7.35651427e-07	-4.90343379e-07	-2.45308048e-07
0.42           	-1.16282210e-07	1.83764445e+00	-8.57412068e-07	-5.44988243e-07	-3.12423824e-07
0.44           	-1.10647318e-07	1.81407001e+00	-7.70686198e-07	-4.95990417e-07	-2.74695781e-07
0.46           	-1.05491926e-07	1.79213474e+00	-8.39641236e-07	-5.25312543e-07	-3.14328692e-07
0.48           	-1.00735089e-07	1.77159353e+00	-8.35079426e-07	-5.18274802e-07	-3.16804624e-07
0.5            	-9.63608653e-08	1.75271337e+00	-6.77710590e-07	-4.35216160e-07	-2.42494430e-07
0.52           	-9.22957142e-08	1.73505177e+00	-7.65121721e-07	-4.74856575e-07	-2.90265147e-07
0.54           	-8.85397813e-08	1.71859926e+00	-5.30059001e-07	-3.53569282e-07	-1.76489719e-07
0.56           	-8.50661472e-08	1.70330433e+00	-6.44302660e-07	-4.07217477e-07	-2.37085183e-07
0.58           	-8.18773299e-08	1.68858258e+00	-5.28473762e-07	-3.46114211e-07	-1.82359551e-07
0.6            	-7.89033431e-08	1.67470068e+00	-6.77945353e-07	-4.17876020e-07	-2.60069333e-07
0.62           	-7.61307334e-08	1.66177105e+00	-6.48700594e-07	-4.00481030e-07	-2.48219564e-07
0.64           	-7.35046498e-08	1.65021925e+00	-6.46707408e-07	-3.96858354e-07	-2.49849054e-07
0.66           	-7.12236625e-08	1.63944429e+00	-9.42092873e-07	-5.42270099e-07	-3.99822774e-07
0.68           	-6.89177511e-08	1.62948824e+00	-2.57089302e-07	-1.97462402e-07	-5.96269000e-08
0.7            	-6.68665208e-08	1.62023221e+00	-4.03268899e-07	-2.68500970e-07	-1.34767929e-07
0.72           	-6.49013240e-08	1.61155245e+00	-3.48876838e-07	-2.39339743e-07	-1.09537095e-07
0.74           	-6.30406592e-08	1.60366231e+00	-3.41187556e-07	-2.33634437e-07	-1.07553119e-07
0.76           	-6.08878166e-08	1.59636696e+00	-3.33187873e-07	-2.27481753e-07	-1.05706120e-07
0.78           	-5.96703435e-08	1.58962534e+00	-2.96535889e-07	-2.07938288e-07	-8.85976011e-08
0.8            	-5.78571256e-08	1.58328495e+00	-6.96025441e-08	-9.26583977e-08	2.30558535e-08
0.82           	-5.67349792e-08	1.57738120e+00	-1.15274162e-08	-6.24986873e-08	5.09712711e-08
0.84           	-1.20360129e-07	1.57192010e+00	-1.00585753e-08	-1.25389417e-07	1.15330842e-07
0.86           	-2.67340994e-07	1.56712789e+00	-5.70329422e-07	-5.52505705e-07	-1.78237167e-08
0.88           	-4.03200163e-07	1.56282738e+00	-9.49061738e-07	-8.77731032e-07	-7.13307057e-08
0.9            	-4.60076767e-07	1.55877760e+00	-1.66009706e-06	-1.29012530e-06	-3.69971762e-07
0.92           	-3.67259743e-07	1.55503646e+00	-1.55052538e-06	-1.14252244e-06	-4.08002949e-07
0.94           	-7.26267133e-07	1.55170421e+00	-2.84809299e-06	-2.15031363e-06	-6.97779360e-07
0.96           	-8.04130834e-07	1.54854746e+00	-3.04669105e-06	-2.32747636e-06	-7.19214689e-07
0.98           	-8.74240145e-07	1.54581913e+00	-3.35043724e-06	-2.54945876e-06	-8.00978474e-07
1              	-9.39341169e-07	1.54284685e+00	-3.47336463e-06	-2.67602348e-06	-7.97341144e-07
1.02           	-8.71362264e-07	1.54055577e+00	-2.66559274e-06	-2.20415863e-06	-4.61434106e-07
1.04           	-5.35297200e-07	1.53881000e+00	-1.60517123e-06	-1.33788282e-06	-2.67288417e-07
1.06           	9.28447714e-07	1.53668511e+00	2.62528543e-06	2.24109043e-06	3.84195002e-07
1.08           	2.59825338e-06	1.53502075e+00	8.24227607e-06	6.71939141e-06	1.52288466e-06
1.1            	2.94740461e-06	1.53345518e+00	1.02922403e-05	8.09352476e-06	2.19871554e-06
1.12           	2.22071239e-06	1.53301872e+00	7.56253286e-06	6.00197882e-06	1.56055404e-06
1.14           	1.31037070e-06	1.53147864e+00	5.12909361e-06	3.87491750e-06	1.25417611e-06
1.16           	5.47033558e-07	1.53081394e+00	2.17903575e-06	1.63655143e-06	5.42484316e-07
1.18           	-1.27879982e-07	1.52965231e+00	5.78088354e-07	1.61164195e-07	4.16924159e-07
1.2            	-8.45302004e-07	1.52905407e+00	-3.02040867e-06	-2.35550634e-06	-6.64902333e-07
1.22           	-9.22092451e-07	1.52874989e+00	-2.17461705e-06	-2.00940098e-06	-1.65216076e-07
1.24           	1.99998294e-06	1.52863252e+00	2.56646457e-06	3.28321523e-06	-7.16750656e-07
1.26           	1.40737192e-06	1.52827186e+00	2.62886132e-06	2.72180258e-06	-9.29412610e-08
1.28           	-6.80121112e-07	1.52825572e+00	-4.21091236e-06	-2.78557729e-06	-1.42533507e-06
1.3            	-7.00423612e-07	1.52824888e+00	-2.41867786e-06	-1.90976254e-06	-5.08915316e-07
1.32           	-7.60848728e-07	1.52832138e+00	-2.29751955e-06	-1.90960850e-06	-3.87911048e-07
1.34           	-6.24604135e-07	1.52853272e+00	-2.26616389e-06	-1.75768608e-06	-5.08477810e-07
1.36           	-2.97022490e-07	1.52858007e+00	-1.40026623e-06	-9.97155604e-07	-4.03110625e-07
1.38           	1.40476732e-06	1.52892945e+00	4.44745145e-06	3.62849304e-06	8.18958402e-07
1.4            	-3.56913534e-07	1.52929352e+00	-9.92983153e-07	-8.53405111e-07	-1.39578043e-07
1.42           	-2.83238764e-07	1.52978773e+00	-1.08081529e-06	-8.23646408e-07	-2.57168881e-07
1.44           	-2.24391391e-07	1.53052019e+00	-1.24014744e-07	-2.86398763e-07	1.62384020e-07
1.46           	-1.79921184e-07	1.53160015e+00	1.01593023e-07	-1.29124673e-07	2.30717696e-07
1.48           	-2.06257371e-07	1.53168652e+00	3.29369868e-07	-4.15724363e-08	3.70942305e-07
1.5            	-2.35587912e-07	1.53249094e+00	4.22210357e-07	-2.44827331e-08	4.46693090e-07
1.52           	-2.85019941e-07	1.53344557e+00	-4.67183101e-08	-3.08379096e-07	2.61660786e-07
1.54           	-3.29589397e-07	1.53396611e+00	-2.23602345e-07	-4.41390569e-07	2.17788224e-07
1.56           	-3.69035222e-07	1.53484048e+00	-2.94979501e-07	-5.16524972e-07	2.21545472e-07
1.58           	-3.99085955e-07	1.53570106e+00	-7.88898231e-07	-7.93535070e-07	4.63683929e-09
1.6            	-3.49484452e-07	1.53665863e+00	-4.77567692e-07	-5.88268298e-07	1.10700607e-07
1.62           	-3.98912889e-07	1.53780536e+00	-3.73307307e-07	-5.85566542e-07	2.12259235e-07
1.64           	-4.04622778e-07	1.53910797e+00	-3.82358027e-07	-5.95801792e-07	2.13443765e-07
1.66           	-4.05449299e-07	1.53944759e+00	-6.25517858e-07	-7.18208227e-07	9.26903696e-08
1.68           	-3.65599325e-07	1.54042422e+00	-2.66297472e-07	-4.98748061e-07	2.32450589e-07
1.7            	-3.15000027e-07	1.54165327e+00	-5.13982305e-07	-5.71991180e-07	5.80088748e-08
1.72           	-2.60247424e-07	1.54248468e+00	-1.05078767e-07	-3.12786807e-07	2.07708040e-07
1.74           	-2.04974654e-07	1.54348106e+00	2.76560804e-07	-6.66942519e-08	3.43255056e-07
1.76           	-1.48886148e-07	1.54441405e+00	3.16503076e-07	9.36539013e-09	3.07137686e-07
1.78           	-9.32360917e-08	1.54568530e+00	6.09792402e-07	2.11660109e-07	3.98132293e-07
1.8            	-3.80221812e-08	1.54675524e+00	6.50358355e-07	2.87156996e-07	3.63201359e-07
1.82           	7.36418368e-09	1.54796619e+00	1.12075309e-06	5.67740731e-07	5.53012364e-07
1.84           	4.33744957e-08	1.54904492e+00	1.27815902e-06	6.82454006e-07	5.95705014e-07
1.86           	-1.42200710e-08	1.54993921e+00	1.63573872e-06	8.03649290e-07	8.32089432e-07
1.88           	-7.85574677e-08	1.55119405e+00	1.20343150e-06	5.23158284e-07	6.80273220e-07
1.9            	-1.30855407e-07	1.55208123e+00	8.87898962e-07	3.13094074e-07	5.74804888e-07
1.92           	-1.89407712e-07	1.55276257e+00	8.12241317e-07	2.16712946e-07	5.95528370e-07
1.94           	-2.35751546e-07	1.55371560e+00	8.00898071e-07	1.64697489e-07	6.36200582e-07
1.96           	-2.72774098e-07	1.55468487e+00	4.87142401e-07	-2.92028973e-08	5.16345298e-07
1.98           	-3.01684900e-07	1.55569197e+00	-2.75719568e-07	-4.39544684e-07	1.63825116e-07
2              	-3.23842046e-07	1.55668659e+00	-3.74149545e-07	-5.10916819e-07	1.36767273e-07
2.02           	-3.38558213e-07	1.55795410e+00	-6.39053047e-07	-6.58084737e-07	1.90316900e-08
2.04           	-3.46775751e-07	1.55846597e+00	-9.96848696e-07	-8.45200100e-07	-1.51648597e-07
2.06           	-3.58264053e-07	1.55937302e+00	-4.29750906e-07	-5.73139506e-07	1.43388600e-07
2.08           	-3.63525987e-07	1.56063447e+00	-9.03634841e-07	-8.15343407e-07	-8.82914336e-08
2.1            	-3.18349114e-07	1.56121268e+00	-9.94559695e-07	-8.15628962e-07	-1.78930733e-07
2.12           	-2.61457108e-07	1.56201868e+00	-5.16722275e-07	-5.19818246e-07	3.09597102e-09
2.14           	-2.06533421e-07	1.56270399e+00	-9.96309860e-07	-7.04688352e-07	-2.91621509e-07
2.16           	-1.57736454e-07	1.56378632e+00	-7.30661230e-07	-5.23067069e-07	-2.07594160e-07
2.18           	-1.16255272e-07	1.56444756e+00	-7.77800886e-07	-5.05155715e-07	-2.72645170e-07
2.2            	-8.18236658e-08	1.56522842e+00	-4.61967740e-07	-3.12807536e-07	-1.49160204e-07
2.22           	-5.38104530e-08	1.56596177e+00	-3.78319972e-07	-2.42970439e-07	-1.35349533e-07
2.24           	-3.12465487e-08	1.56692942e+00	-4.19706325e-07	-2.41099711e-07	-1.78606614e-07
2.26           	-1.31846498e-08	1.56775704e+00	-2.34761389e-07	-1.30565344e-07	-1.04196045e-07
2.28           	1.19247191e-09	1.56854510e+00	-1.86446926e-07	-9.20309912e-08	-9.44159350e-08
2.3            	1.26512600e-08	1.56934188e+00	-1.33415604e-07	-5.40565420e-08	-7.93590619e-08
2.32           	2.17734843e-08	1.57031278e+00	-2.32124042e-09	2.06128640e-08	-2.29341045e-08
2.34           	2.89353518e-08	1.57098236e+00	-3.20633654e-08	1.29036691e-08	-4.49670346e-08
2.36           	3.46071726e-08	1.57146410e+00	1.95800727e-07	1.32507536e-07	6.32931909e-08
2.38           	3.91896934e-08	1.57222465e+00	9.69322021e-08	8.76557944e-08	9.27640768e-09
2.4            	4.30097969e-08	1.57299793e+00	6.20350534e-08	7.40273236e-08	-1.19922702e-08
2.42           	4.60240944e-08	1.57372459e+00	3.30300333e-07	2.11174261e-07	1.19126072e-07
2.44           	4.84191995e-08	1.57485086e+00	2.79316467e-08	6.23850229e-08	-3.44533762e-08
2.46           	5.03036353e-08	1.57536126e+00	1.01722016e-07	1.01164643e-07	5.57372739e-10
2.48           	5.20566779e-08	1.57612752e+00	3.53884219e-07	2.28998788e-07	1.24885432e-07
2.5            	5.32503069e-08	1.57676967e+00	8.54555501e-09	5.75230844e-08	-4.89775294e-08
2.52           	5.39772007e-08	1.57768276e+00	3.17459910e-07	2.12707155e-07	1.04752754e-07
2.54           	5.42071273e-08	1.57834242e+00	2.32628563e-07	1.70521409e-07	6.21071543e-08
2.56           	5.38808790e-08	1.57916385e+00	2.46431998e-07	1.77096878e-07	6.93351200e-08
2.58           	5.29527145e-08	1.57997925e+00	2.21791282e-07	1.63848356e-07	5.79429266e-08
2.6            	5.15566884e-08	1.58102829e+00	3.16279591e-07	2.09696484e-07	1.06583107e-07
2.62           	4.96300965e-08	1.58121246e+00	5.79344996e-07	3.39302594e-07	2.40042401e-07
2.64           	4.72765996e-08	1.58212995e+00	4.39898276e-07	2.67225738e-07	1.72672538e-07
2.66           	4.43937644e-08	1.58298891e+00	1.28696692e-07	1.08742110e-07	1.99545816e-08
2.68           	4.09542696e-08	1.58382484e+00	2.96764964e-07	1.89336752e-07	1.07428212e-07
2.7            	3.69690355e-08	1.58458762e+00	4.05216068e-07	2.39577070e-07	1.65638999e-07
2.72           	3.25777965e-08	1.58539363e+00	3.39425817e-07	2.02290705e-07	1.37135112e-07
2.74           	2.77349578e-08	1.58625457e+00	3.18405185e-07	1.86937550e-07	1.31467635e-07
2.76           	2.35353231e-08	1.58710524e+00	3.20799838e-07	1.83935242e-07	1.36864596e-07
2.78           	1.92754533e-08	1.58795299e+00	3.73804335e-07	2.06177621e-07	1.67626714e-07
2.8            	1.47762316e-08	1.58884017e+00	1.02161005e-07	6.58567341e-08	3.63042708e-08
2.82           	1.00486871e-08	1.58996224e+00	2.06318166e-07	1.13207770e-07	9.31103961e-08
2.84           	5.11978791e-09	1.59068092e+00	-1.17059923e-08	-7.33208234e-10	-1.09727841e-08
2.86           	5.04188808e-11	1.59176685e+00	4.11428498e-07	2.05764668e-07	2.05663830e-07
2.88           	-5.04512881e-09	1.59257807e+00	6.97005398e-08	2.98051411e-08	3.98953987e-08
2.9            	-1.00082109e-08	1.59362432e+00	-7.90651481e-08	-4.95407850e-08	-2.95243631e-08
2.92           	-1.49975661e-08	1.59421728e+00	5.30511365e-09	-1.23450093e-08	1.76501229e-08
2.94           	-1.96110678e-08	1.59527024e+00	-4.07234402e-07	-2.23228269e-07	-1.84006133e-07
2.96           	-2.39769490e-08	1.59643412e+00	-1.25218482e-07	-8.65861901e-08	-3.86322921e-08
2.98           	-2.78681327e-08	1.59761309e+00	9.58229779e-07	4.51246757e-07	5.06983022e-07
3              	-3.17110154e-08	1.59883436e+00	1.34339109e-08	-2.49940599e-08	3.84279708e-08
3.02           	-3.56309060e-08	1.60007266e+00	3.32014757e-08	-1.90301681e-08	5.22316438e-08
