# Force coefficients
# liftDir      : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# dragDir      : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# pitchAxis    : (0.00000000e+00 0.00000000e+00 1.00000000e+00)
# magUInf      : 1.00000000e+00
# lRef         : 2.00000000e+00
# Aref         : 2.00000000e+00
# CofR         : (0.00000000e+00 0.00000000e+00 0.00000000e+00)
#              
# Time         	Cm             	Cd             	Cl             	Cl(f)          	Cl(r)          
0.02           	2.42196614e-11	1.53232904e+02	3.95840019e-05	1.97920251e-05	1.97919767e-05
0.04           	9.44608251e-10	5.06526442e+00	-7.23054726e-06	-3.61432902e-06	-3.61621824e-06
0.06           	1.59852400e-09	-1.67995393e+01	-8.96719579e-05	-4.48343804e-05	-4.48375775e-05
0.08           	1.93697294e-09	-1.20384944e+01	9.07868657e-05	4.53953698e-05	4.53914959e-05
0.1            	-1.02326108e-09	-6.91633792e+00	1.78077155e-05	8.90283450e-06	8.90488102e-06
0.12           	-4.79380451e-09	-3.84493547e+00	8.59614317e-05	4.29759221e-05	4.29855097e-05
0.14           	2.43097035e-08	-2.21086947e+00	-3.41105918e-05	-1.70309862e-05	-1.70796056e-05
0.16           	5.34040847e-08	-1.35801872e+00	-6.34452716e-05	-3.16692317e-05	-3.17760399e-05
0.18           	5.76754780e-08	-8.90737776e-01	-1.86646181e-05	-9.27463355e-06	-9.38998451e-06
0.2            	4.65997337e-08	-6.10286935e-01	-2.56267350e-05	-1.27667678e-05	-1.28599673e-05
0.22           	3.42843612e-08	-4.24453569e-01	-1.45433186e-05	-7.23737495e-06	-7.30594368e-06
0.24           	3.08777898e-08	-2.91634969e-01	-1.29184141e-05	-6.42832925e-06	-6.49008482e-06
0.26           	3.49677150e-08	-1.92210810e-01	-1.23594877e-05	-6.14477614e-06	-6.21471157e-06
0.28           	4.28002414e-08	-1.15679302e-01	-2.22317942e-05	-1.10730969e-05	-1.11586973e-05
0.3            	5.04918758e-08	-5.56455474e-02	-2.53537630e-05	-1.26263896e-05	-1.27273734e-05
0.32           	5.01811564e-08	-7.93259555e-03	-2.31310308e-05	-1.15153342e-05	-1.16156966e-05
0.34           	4.10075727e-08	3.04236191e-02	-1.61075637e-05	-8.01277430e-06	-8.09478945e-06
0.36           	3.64265948e-08	6.14897559e-02	-1.39265838e-05	-6.92686531e-06	-6.99971850e-06
0.38           	3.62892000e-08	8.68843151e-02	-1.09033580e-05	-5.41538978e-06	-5.48796818e-06
0.4            	3.89095990e-08	1.07862665e-01	-1.00174266e-05	-4.96980370e-06	-5.04762290e-06
0.42           	4.19901662e-08	1.25392116e-01	-1.12246433e-05	-5.57033147e-06	-5.65431180e-06
0.44           	4.43209164e-08	1.40132681e-01	-1.33245233e-05	-6.61794073e-06	-6.70658257e-06
0.46           	4.57127981e-08	1.52707189e-01	-9.22183968e-06	-4.56520704e-06	-4.65663264e-06
0.48           	4.65966839e-08	1.63426391e-01	-1.48424481e-05	-7.37462735e-06	-7.46782071e-06
0.5            	4.70391175e-08	1.72733089e-01	-1.22987953e-05	-6.10235853e-06	-6.19643676e-06
0.52           	4.29519827e-08	1.80821518e-01	-1.67122675e-05	-8.31318176e-06	-8.39908573e-06
0.54           	3.79787503e-08	1.88000467e-01	-1.63445889e-05	-8.13431569e-06	-8.21027319e-06
0.56           	3.30368291e-08	1.94433275e-01	-1.58566327e-05	-7.89527951e-06	-7.96135317e-06
0.58           	2.87084304e-08	2.00289125e-01	-1.43593784e-05	-7.15098077e-06	-7.20839763e-06
0.6            	2.50065991e-08	2.05712409e-01	-1.24473583e-05	-6.19867257e-06	-6.24868577e-06
0.62           	2.16884746e-08	2.10824607e-01	-1.21447734e-05	-6.05069822e-06	-6.09407517e-06
0.64           	1.87043731e-08	2.15958521e-01	-9.23419030e-06	-4.59839077e-06	-4.63579952e-06
0.66           	1.60340273e-08	2.20964687e-01	2.92780490e-06	1.47993648e-06	1.44786842e-06
0.68           	1.35419876e-08	2.25741961e-01	-8.36191336e-06	-4.16741469e-06	-4.19449867e-06
0.7            	1.08857155e-08	2.30370219e-01	-1.53744329e-06	-7.57835931e-07	-7.79607362e-07
0.72           	7.84561692e-09	2.34828987e-01	-4.88118093e-06	-2.43274485e-06	-2.44843608e-06
0.74           	4.47478990e-09	2.39242054e-01	-4.81745492e-06	-2.40425267e-06	-2.41320225e-06
0.76           	1.10935907e-10	2.43685867e-01	-7.32859256e-06	-3.66418534e-06	-3.66440722e-06
0.78           	-5.16962877e-09	2.48261462e-01	-7.14931273e-06	-3.57982600e-06	-3.56948674e-06
0.8            	-1.05661399e-08	2.51936707e-01	-8.31588476e-06	-4.16850852e-06	-4.14737624e-06
0.82           	-1.63999795e-08	2.53155232e-01	-2.07628437e-06	-1.05454216e-06	-1.02174220e-06
0.84           	-2.22847549e-08	2.53846497e-01	-1.18817054e-05	-5.96313746e-06	-5.91856795e-06
0.86           	-2.80916533e-08	2.55240534e-01	-7.28252555e-06	-3.66935443e-06	-3.61317112e-06
0.88           	-3.25696433e-08	2.58814641e-01	-1.57381519e-05	-7.90164558e-06	-7.83650629e-06
0.9            	-3.65189586e-08	2.58434145e-01	-1.39403238e-05	-7.00668085e-06	-6.93364293e-06
0.92           	-3.96854469e-08	2.60998946e-01	-8.11723222e-06	-4.09830156e-06	-4.01893066e-06
0.94           	-4.34751617e-08	2.65138850e-01	2.10502679e-05	1.04816588e-05	1.05686091e-05
0.96           	-4.54903002e-08	2.69800569e-01	-3.18483882e-06	-1.63790971e-06	-1.54692911e-06
0.98           	-4.63984155e-08	2.74002679e-01	2.99201472e-06	1.44960894e-06	1.54240578e-06
