# Force coefficients
# liftDir      : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# dragDir      : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# pitchAxis    : (0.00000000e+00 0.00000000e+00 1.00000000e+00)
# magUInf      : 1.00000000e+00
# lRef         : 2.00000000e+00
# Aref         : 2.00000000e+00
# CofR         : (0.00000000e+00 0.00000000e+00 0.00000000e+00)
#              
# Time         	Cm             	Cd             	Cl             	Cl(f)          	Cl(r)          
0.02           	-1.95176258e-07	1.55327548e+02	1.16216520e-05	5.61564973e-06	6.00600224e-06
0.04           	3.21285592e-07	5.83368488e+00	-2.13506510e-06	-7.46246959e-07	-1.38881814e-06
0.06           	2.36291707e-07	-1.53468751e+01	-8.25811157e-05	-4.10542662e-05	-4.15268496e-05
0.08           	1.00677301e-07	-1.04945389e+01	1.32900169e-04	6.65507620e-05	6.63494074e-05
0.1            	-4.30045053e-09	-5.29983274e+00	4.88966007e-05	2.44439999e-05	2.44526008e-05
0.12           	-6.45133825e-08	-2.27838816e+00	3.87220471e-05	1.92965102e-05	1.94255369e-05
0.14           	-9.88262485e-08	-7.28794763e-01	-1.79455302e-05	-9.07159137e-06	-8.87393887e-06
0.16           	-9.09271853e-08	4.06922922e-02	-7.01373254e-06	-3.59779346e-06	-3.41593909e-06
0.18           	-6.88125476e-08	4.34483291e-01	-5.43244444e-05	-2.72310348e-05	-2.70934097e-05
0.2            	-4.33286581e-08	6.49675187e-01	-1.44533089e-06	-7.65994103e-07	-6.79336787e-07
0.22           	-1.80555434e-08	7.76480331e-01	-6.63313428e-06	-3.33462268e-06	-3.29851160e-06
0.24           	2.02557548e-09	8.55695381e-01	-3.49888752e-06	-1.74741818e-06	-1.75146933e-06
0.26           	1.80450863e-08	9.06819162e-01	1.62448624e-05	8.14047627e-06	8.10438609e-06
0.28           	2.96521004e-08	9.39859318e-01	1.78218816e-05	8.94059291e-06	8.88128871e-06
0.3            	3.88531100e-08	9.60825058e-01	-6.82788779e-06	-3.37509078e-06	-3.45279700e-06
0.32           	4.73258633e-08	9.73356358e-01	-1.96271559e-06	-9.34031932e-07	-1.02868366e-06
0.34           	5.64639660e-08	9.80206245e-01	-6.89793479e-06	-3.39250343e-06	-3.50543136e-06
0.36           	6.46065580e-08	9.82991182e-01	1.43042260e-06	7.79817860e-07	6.50604744e-07
0.38           	7.10030048e-08	9.82927858e-01	-1.77874838e-06	-8.18371185e-07	-9.60377195e-07
0.4            	7.59972025e-08	9.81005326e-01	-1.61999729e-06	-7.34001442e-07	-8.85995846e-07
0.42           	8.00111744e-08	9.77865488e-01	7.85090316e-07	4.72556333e-07	3.12533984e-07
0.44           	8.33693084e-08	9.73946682e-01	-1.12072272e-06	-4.76992050e-07	-6.43730667e-07
0.46           	8.59978044e-08	9.69541997e-01	-6.88252200e-07	-2.58128296e-07	-4.30123905e-07
0.48           	8.82804396e-08	9.64992011e-01	-1.58443881e-06	-7.03938967e-07	-8.80499846e-07
0.5            	9.01131380e-08	9.60359515e-01	-6.71443851e-07	-2.45608787e-07	-4.25835063e-07
0.52           	9.18887629e-08	9.56216496e-01	-1.44644862e-06	-6.31335548e-07	-8.15113074e-07
0.54           	9.27998473e-08	9.52321768e-01	-1.13679508e-06	-4.75597695e-07	-6.61197389e-07
0.56           	9.39098698e-08	9.48730208e-01	-1.98637002e-06	-8.99275141e-07	-1.08709488e-06
0.58           	9.37017579e-08	9.44135731e-01	-1.76855770e-06	-7.90577094e-07	-9.77980610e-07
0.6            	9.29475009e-08	9.39481597e-01	-1.49833404e-06	-6.56219521e-07	-8.42114523e-07
0.62           	9.28588546e-08	9.34667503e-01	-1.68769859e-06	-7.50990442e-07	-9.36708151e-07
0.64           	9.21038832e-08	9.31191654e-01	-1.74700885e-06	-7.81400541e-07	-9.65608307e-07
0.66           	8.75433840e-08	9.28847133e-01	-1.82160970e-06	-8.23261466e-07	-9.98348234e-07
0.68           	9.01206889e-08	9.26857859e-01	-1.76392739e-06	-7.91843005e-07	-9.72084383e-07
0.7            	8.71929741e-08	9.24959461e-01	-1.66917915e-06	-7.47396602e-07	-9.21782550e-07
0.72           	8.55943248e-08	9.24304322e-01	-1.67064846e-06	-7.49729907e-07	-9.20918557e-07
0.74           	8.64826561e-08	9.23399394e-01	-1.50996231e-06	-6.68498500e-07	-8.41463812e-07
0.76           	8.53127598e-08	9.23419215e-01	-1.14271370e-06	-4.86044091e-07	-6.56669611e-07
0.78           	8.46966544e-08	9.23146458e-01	-1.00712556e-06	-4.18866126e-07	-5.88259435e-07
0.8            	8.34677333e-08	9.23254133e-01	-1.01515210e-06	-4.24108316e-07	-5.91043783e-07
0.82           	7.99436904e-08	9.24007812e-01	-7.23857803e-07	-2.81985211e-07	-4.41872592e-07
0.84           	7.68504988e-08	9.25048463e-01	-3.41667775e-07	-9.39833887e-08	-2.47684386e-07
0.86           	8.30719804e-08	9.26189192e-01	-2.53164836e-07	-4.35104375e-08	-2.09654398e-07
0.88           	8.24907056e-08	9.27895562e-01	-5.90253127e-07	-2.12635858e-07	-3.77617269e-07
0.9            	6.56874554e-08	9.29600506e-01	-3.44604164e-07	-1.06614627e-07	-2.37989537e-07
0.92           	-2.34902880e-09	9.31544691e-01	-6.24419343e-07	-3.14558700e-07	-3.09860643e-07
0.94           	-4.25485314e-09	9.33804138e-01	-2.20507266e-06	-1.10679118e-06	-1.09828148e-06
0.96           	-1.95974811e-07	9.36270924e-01	-2.88867530e-06	-1.64031246e-06	-1.24836284e-06
0.98           	-3.17120378e-07	9.39157007e-01	-3.52173161e-06	-2.07798618e-06	-1.44374543e-06
1              	-3.01528553e-07	9.42245907e-01	-3.61555414e-06	-2.10930562e-06	-1.50624852e-06
1.02           	-5.95048094e-07	9.46066897e-01	-4.69468382e-06	-2.94239000e-06	-1.75229381e-06
1.04           	-7.16189376e-07	9.48819052e-01	-4.96598299e-06	-3.19918087e-06	-1.76680212e-06
1.06           	-6.69614645e-07	9.52576484e-01	-5.03526068e-06	-3.18724498e-06	-1.84801570e-06
1.08           	-5.97257764e-07	9.54684666e-01	-5.38960833e-06	-3.29206193e-06	-2.09754640e-06
1.1            	-5.23510463e-07	9.58237850e-01	-4.56128546e-06	-2.80415319e-06	-1.75713227e-06
1.12           	-4.50076315e-07	9.62723637e-01	-7.37681149e-06	-4.13848206e-06	-3.23832943e-06
1.14           	-3.75437457e-07	9.67099892e-01	-6.10562982e-06	-3.42825237e-06	-2.67737745e-06
1.16           	-2.90815736e-07	9.70594721e-01	-4.78600386e-06	-2.68381766e-06	-2.10218619e-06
1.18           	-2.13319802e-07	9.75109870e-01	-4.71569860e-06	-2.57116910e-06	-2.14452950e-06
1.2            	-1.77609471e-07	9.79900266e-01	-5.57190871e-06	-2.96356383e-06	-2.60834488e-06
1.22           	-1.38404842e-07	9.85340830e-01	-7.09484190e-06	-3.68582579e-06	-3.40901611e-06
1.24           	-9.70262797e-08	9.89921112e-01	-8.55218874e-06	-4.37312065e-06	-4.17906809e-06
1.26           	-8.10558625e-08	9.93695014e-01	-7.53868862e-06	-3.85040017e-06	-3.68828845e-06
1.28           	-5.80622104e-08	9.99602419e-01	-4.23252545e-06	-2.17432493e-06	-2.05820051e-06
1.3            	-2.16551052e-08	1.00400800e+00	-4.11631214e-06	-2.07981117e-06	-2.03650096e-06
1.32           	1.34377744e-08	1.00947429e+00	-3.70673007e-06	-1.83992726e-06	-1.86680281e-06
1.34           	4.23107421e-08	1.01499286e+00	-3.91594959e-06	-1.91566405e-06	-2.00028554e-06
1.36           	6.25628741e-08	1.02114187e+00	-5.52422561e-06	-2.69954993e-06	-2.82467568e-06
1.38           	-1.12692668e-07	1.02590207e+00	-7.95676163e-06	-4.09107348e-06	-3.86568815e-06
1.4            	-5.47251026e-07	1.03094229e+00	-1.27823677e-05	-6.93843489e-06	-5.84393284e-06
1.42           	-5.98134319e-07	1.03706064e+00	-9.16618501e-06	-5.18122682e-06	-3.98495818e-06
1.44           	-6.67491000e-07	1.04282725e+00	-1.07833354e-05	-6.05915872e-06	-4.72417672e-06
1.46           	-6.52229376e-07	1.04899696e+00	-1.09948155e-05	-6.14963710e-06	-4.84517835e-06
1.48           	-5.61826249e-07	1.05601007e+00	-1.05351888e-05	-5.82942064e-06	-4.70576814e-06
1.5            	-4.83026727e-07	1.06078705e+00	-1.23236772e-05	-6.64486533e-06	-5.67881187e-06
1.52           	-4.20158892e-07	1.06640197e+00	-1.40461493e-05	-7.44323356e-06	-6.60291577e-06
1.54           	-3.71340519e-07	1.07215430e+00	-1.84671510e-05	-9.60491601e-06	-8.86223498e-06
1.56           	-4.32262700e-07	1.07910994e+00	-1.31362822e-05	-7.00040378e-06	-6.13587838e-06
1.58           	-7.91725600e-07	1.08603928e+00	-1.34388369e-05	-7.51114403e-06	-5.92769283e-06
1.6            	-1.72338169e-06	1.09171520e+00	-1.58601278e-05	-9.65344560e-06	-6.20668222e-06
1.62           	1.89588917e-06	1.09779624e+00	-2.85845222e-06	4.66663061e-07	-3.32511528e-06
1.64           	2.16119133e-06	1.10402284e+00	1.61376606e-06	2.96807436e-06	-1.35430830e-06
1.66           	1.68557729e-06	1.11030276e+00	1.40617859e-06	2.38866659e-06	-9.82487992e-07
1.68           	1.16331244e-06	1.11690391e+00	9.55533642e-07	1.64107926e-06	-6.85545614e-07
1.7            	5.93352945e-07	1.12351177e+00	-1.30740297e-06	-6.03485413e-08	-1.24705443e-06
1.72           	3.17016437e-07	1.12772800e+00	-1.69575339e-06	-5.30860259e-07	-1.16489313e-06
1.74           	3.11099535e-07	1.13503787e+00	-4.21951115e-06	-1.79865604e-06	-2.42085511e-06
1.76           	3.06590229e-07	1.14073288e+00	-4.12345402e-06	-1.75513678e-06	-2.36831724e-06
1.78           	3.01670797e-07	1.14660546e+00	-3.02472069e-06	-1.21068955e-06	-1.81403114e-06
1.8            	2.96497326e-07	1.15256106e+00	-2.21370346e-06	-8.10354406e-07	-1.40334906e-06
1.82           	2.91367984e-07	1.15979653e+00	-2.81439976e-06	-1.11583189e-06	-1.69856786e-06
1.84           	2.85085792e-07	1.16542406e+00	-2.89331610e-06	-1.16157226e-06	-1.73174384e-06
1.86           	2.77729315e-07	1.17060605e+00	-3.25095174e-06	-1.34774655e-06	-1.90320518e-06
1.88           	2.69121029e-07	1.17656910e+00	-3.17012294e-06	-1.31594044e-06	-1.85418250e-06
1.9            	2.59595942e-07	1.18160914e+00	-2.68121061e-06	-1.08100936e-06	-1.60020125e-06
1.92           	2.49378865e-07	1.18837064e+00	-3.03312050e-06	-1.26718138e-06	-1.76593911e-06
1.94           	2.39046356e-07	1.19395697e+00	-3.36007828e-06	-1.44099278e-06	-1.91908549e-06
1.96           	2.28336974e-07	1.19984211e+00	-3.72428529e-06	-1.63380567e-06	-2.09047962e-06
1.98           	2.18928914e-07	1.20569623e+00	-3.08844318e-06	-1.32529268e-06	-1.76315050e-06
2              	2.05602151e-07	1.21177138e+00	-2.65363324e-06	-1.12121447e-06	-1.53241877e-06
2.02           	1.93666804e-07	1.21694881e+00	-3.01786002e-06	-1.31526321e-06	-1.70259682e-06
2.04           	1.83675214e-07	1.22098694e+00	-2.79243114e-06	-1.21254036e-06	-1.57989078e-06
2.06           	1.75838122e-07	1.22665867e+00	-2.96838646e-06	-1.30835511e-06	-1.66003135e-06
2.08           	1.70111467e-07	1.23145289e+00	-3.36522066e-06	-1.51249886e-06	-1.85272180e-06
2.1            	1.66381221e-07	1.23691501e+00	-2.71386692e-06	-1.19055224e-06	-1.52331468e-06
2.12           	1.64557853e-07	1.24221105e+00	-2.20248251e-06	-9.36683404e-07	-1.26579911e-06
2.14           	1.64515741e-07	1.24743331e+00	-3.74603103e-06	-1.70849977e-06	-2.03753126e-06
2.16           	1.65092095e-07	1.25259023e+00	-2.84399124e-06	-1.25690353e-06	-1.58708772e-06
2.18           	1.65634371e-07	1.25664851e+00	-3.23223505e-06	-1.45048315e-06	-1.78175189e-06
2.2            	1.62655004e-07	1.26111207e+00	-2.70055542e-06	-1.18762271e-06	-1.51293271e-06
2.22           	1.55509047e-07	1.26576070e+00	-1.35000355e-06	-5.19492728e-07	-8.30510821e-07
2.24           	1.46695605e-07	1.27063040e+00	-1.76112031e-06	-7.33864550e-07	-1.02725576e-06
2.26           	1.36894044e-07	1.27528310e+00	-1.58933820e-06	-6.57775054e-07	-9.31563142e-07
2.28           	1.26499333e-07	1.27964733e+00	-2.44238557e-06	-1.09469345e-06	-1.34769212e-06
2.3            	1.15689732e-07	1.28465127e+00	-2.36894519e-06	-1.06878286e-06	-1.30016233e-06
2.32           	1.04603991e-07	1.28772877e+00	-1.58382027e-06	-6.87306146e-07	-8.96514128e-07
2.34           	9.09050150e-08	1.29152470e+00	-3.88209250e-06	-1.85014123e-06	-2.03195126e-06
2.36           	7.72080812e-08	1.29435603e+00	-2.57452879e-06	-1.21005631e-06	-1.36447247e-06
2.38           	6.39777732e-08	1.29755525e+00	-3.53099572e-06	-1.70152009e-06	-1.82947563e-06
2.4            	5.11761939e-08	1.30095642e+00	-5.95417204e-06	-2.92590983e-06	-3.02826222e-06
2.42           	4.04374601e-08	1.30519706e+00	-5.91255485e-06	-2.91583997e-06	-2.99671489e-06
2.44           	3.21433926e-08	1.30919356e+00	-5.89779985e-06	-2.91675653e-06	-2.98104332e-06
2.46           	3.17873283e-08	1.31349021e+00	-5.14070569e-06	-2.53856552e-06	-2.60214018e-06
2.48           	3.45301325e-08	1.31812923e+00	-5.15891211e-06	-2.54492592e-06	-2.61398619e-06
2.5            	3.93109971e-08	1.32182047e+00	-4.57101502e-06	-2.24619651e-06	-2.32481851e-06
2.52           	4.48082473e-07	1.32551866e+00	-4.29255728e-06	-1.69819617e-06	-2.59436111e-06
2.54           	4.45458774e-07	1.32947446e+00	-3.34244051e-06	-1.22576148e-06	-2.11667903e-06
