# Force coefficients
# liftDir      : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# dragDir      : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# pitchAxis    : (0.00000000e+00 0.00000000e+00 1.00000000e+00)
# magUInf      : 1.00000000e+00
# lRef         : 2.00000000e+00
# Aref         : 2.00000000e+00
# CofR         : (0.00000000e+00 0.00000000e+00 0.00000000e+00)
#              
# Time         	Cm             	Cd             	Cl             	Cl(f)          	Cl(r)          
0.02           	3.87004421e-11	1.53232322e+02	3.95858079e-05	1.97929427e-05	1.97928653e-05
0.04           	5.54796989e-10	5.06408054e+00	-7.23205792e-06	-3.61547416e-06	-3.61658376e-06
0.06           	8.68302562e-10	-1.68024611e+01	-8.96653556e-05	-4.48318095e-05	-4.48335461e-05
0.08           	7.72653026e-10	-1.20458251e+01	9.07971491e-05	4.53993472e-05	4.53978019e-05
0.1            	-1.03496658e-10	-6.92820023e+00	1.77760609e-05	8.88792698e-06	8.88813397e-06
0.12           	-5.70840213e-09	-3.85239286e+00	8.58900500e-05	4.29393166e-05	4.29507334e-05
0.14           	2.30436333e-08	-2.21263780e+00	-3.42443287e-05	-1.70991207e-05	-1.71452080e-05
0.16           	5.14325053e-08	-1.35961048e+00	-6.35160094e-05	-3.17065722e-05	-3.18094372e-05
0.18           	5.58900250e-08	-8.92207864e-01	-1.88574261e-05	-9.37282300e-06	-9.48460305e-06
0.2            	4.51505867e-08	-6.11685303e-01	-2.58502781e-05	-1.28799884e-05	-1.29702896e-05
0.22           	3.33101208e-08	-4.25807320e-01	-1.46937488e-05	-7.31356426e-06	-7.38018450e-06
0.24           	3.01740049e-08	-2.92952345e-01	-1.31166606e-05	-6.52815631e-06	-6.58850432e-06
0.26           	3.40911880e-08	-1.93492210e-01	-1.25587598e-05	-6.24528871e-06	-6.31347109e-06
0.28           	4.15676974e-08	-1.16929698e-01	-2.24231292e-05	-1.11699969e-05	-1.12531323e-05
0.3            	4.88829594e-08	-5.68647204e-02	-2.55471520e-05	-1.27246930e-05	-1.28224590e-05
0.32           	4.82444955e-08	-9.12524355e-03	-2.33696614e-05	-1.16365862e-05	-1.17330752e-05
0.34           	3.92728342e-08	2.92484609e-02	-1.59698143e-05	-7.94563433e-06	-8.02418000e-06
0.36           	3.48667589e-08	6.03432545e-02	-1.38919871e-05	-6.91112679e-06	-6.98086031e-06
