# Force coefficients
# liftDir      : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# dragDir      : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# pitchAxis    : (0.00000000e+00 0.00000000e+00 1.00000000e+00)
# magUInf      : 1.00000000e+00
# lRef         : 2.00000000e+00
# Aref         : 2.00000000e+00
# CofR         : (0.00000000e+00 0.00000000e+00 0.00000000e+00)
#              
# Time         	Cm             	Cd             	Cl             	Cl(f)          	Cl(r)          
0.02           	-5.13606971e-06	1.78837957e+02	-2.95945274e-04	-1.53108707e-04	-1.42836567e-04
0.04           	-2.73984546e-06	8.44952354e+00	3.61687327e-04	1.78103818e-04	1.83583509e-04
0.06           	-2.58933198e-06	-7.41606210e+00	-9.43138413e-05	-4.97462526e-05	-4.45675887e-05
0.08           	-2.55424297e-06	-2.35163001e+00	-2.92132038e-05	-1.71608449e-05	-1.20523589e-05
0.1            	-2.37606431e-06	2.77495244e+00	9.70961264e-05	4.61719989e-05	5.09241275e-05
0.12           	-2.14276547e-06	5.20775910e+00	5.58027043e-05	2.57585867e-05	3.00441176e-05
0.14           	-1.90139853e-06	5.98970742e+00	-2.17415897e-05	-1.27721934e-05	-8.96939634e-06
0.16           	-1.67702413e-06	6.05506184e+00	4.47455903e-06	5.60255386e-07	3.91430365e-06
0.18           	-1.47290729e-06	5.88141561e+00	2.06077081e-05	8.83094675e-06	1.17767613e-05
0.2            	-1.29618440e-06	5.65949736e+00	2.63171812e-05	1.18624062e-05	1.44547750e-05
0.22           	-1.14565497e-06	5.45046401e+00	2.76520921e-05	1.26803911e-05	1.49717010e-05
0.24           	-1.01796983e-06	5.26632950e+00	1.93922148e-05	8.67813758e-06	1.07140773e-05
0.26           	-9.07323872e-07	5.10523694e+00	1.96628559e-05	8.92410408e-06	1.07387518e-05
0.28           	-8.10883330e-07	4.96312066e+00	1.97309162e-05	9.05457478e-06	1.06763414e-05
0.3            	-7.26150532e-07	4.83540950e+00	1.92881240e-05	8.91791145e-06	1.03702125e-05
0.32           	-6.50820525e-07	4.71957809e+00	1.75751339e-05	8.13674644e-06	9.43838749e-06
0.34           	-5.83419507e-07	4.61387706e+00	1.68577330e-05	7.84544697e-06	9.01228599e-06
0.36           	-5.22849458e-07	4.51666488e+00	1.59707504e-05	7.46252573e-06	8.50822465e-06
0.38           	-4.67823803e-07	4.42729492e+00	1.51220225e-05	7.09318744e-06	8.02883504e-06
0.4            	-4.17726357e-07	4.34467099e+00	1.42369066e-05	6.70072692e-06	7.53617964e-06
0.42           	-3.71391111e-07	4.26846499e+00	1.34183356e-05	6.33777669e-06	7.08055891e-06
0.44           	-3.28560540e-07	4.19764134e+00	1.26867500e-05	6.01481447e-06	6.67193555e-06
0.46           	-2.88942729e-07	4.13150920e+00	1.18916099e-05	5.65686224e-06	6.23474770e-06
0.48           	-2.52190421e-07	4.06973202e+00	1.13400071e-05	5.41781314e-06	5.92219399e-06
0.5            	-2.17941242e-07	4.01193013e+00	1.12462871e-05	5.40520233e-06	5.84108482e-06
0.52           	-1.85954303e-07	3.95792108e+00	1.06839731e-05	5.15603224e-06	5.52794085e-06
0.54           	-1.55721828e-07	3.90712384e+00	1.01792930e-05	4.93392467e-06	5.24536833e-06
0.56           	-1.27248691e-07	3.85929451e+00	9.63733661e-06	4.69141961e-06	4.94591699e-06
0.58           	-1.00081086e-07	3.81428468e+00	9.06406034e-06	4.43194909e-06	4.63211126e-06
0.6            	-7.44823105e-08	3.77189810e+00	8.72003407e-06	4.28553473e-06	4.43449935e-06
0.62           	-5.03209352e-08	3.73180138e+00	8.16467148e-06	4.03201481e-06	4.13265668e-06
0.64           	-2.74189585e-08	3.69381096e+00	7.63277516e-06	3.78896862e-06	3.84380654e-06
0.66           	-5.61159979e-09	3.65784618e+00	7.28171531e-06	3.63524606e-06	3.64646926e-06
0.68           	1.51277959e-08	3.62354661e+00	6.86816654e-06	3.44921107e-06	3.41895547e-06
0.7            	3.48885279e-08	3.59092642e+00	6.44940951e-06	3.25959328e-06	3.18981623e-06
0.72           	5.37027544e-08	3.55991255e+00	6.11054095e-06	3.10897323e-06	3.00156772e-06
0.74           	7.17113039e-08	3.53037716e+00	5.73303162e-06	2.93822711e-06	2.79480451e-06
0.76           	8.87893043e-08	3.50223592e+00	5.40017846e-06	2.78887853e-06	2.61129992e-06
0.78           	1.04990766e-07	3.47543771e+00	5.13295769e-06	2.67146961e-06	2.46148808e-06
0.8            	1.20393697e-07	3.44987388e+00	4.70240669e-06	2.47159704e-06	2.23080965e-06
0.82           	1.35081435e-07	3.42539938e+00	4.25189911e-06	2.26103099e-06	1.99086812e-06
0.84           	1.49198163e-07	3.40195145e+00	4.10893491e-06	2.20366562e-06	1.90526929e-06
0.86           	1.61174813e-07	3.37949188e+00	3.98942540e-06	2.15588751e-06	1.83353788e-06
0.88           	1.73012797e-07	3.35791973e+00	3.67177878e-06	2.00890219e-06	1.66287659e-06
0.9            	1.84597764e-07	3.33723136e+00	3.48807605e-06	1.92863579e-06	1.55944026e-06
0.92           	1.96056615e-07	3.31737489e+00	2.89386924e-06	1.64299123e-06	1.25087800e-06
0.94           	2.10256649e-07	3.29830262e+00	2.62204399e-06	1.52127864e-06	1.10076535e-06
0.96           	2.21010708e-07	3.27998207e+00	2.43907214e-06	1.44054678e-06	9.98525364e-07
0.98           	2.31536502e-07	3.26235929e+00	2.18943442e-06	1.32625371e-06	8.63180710e-07
1              	2.41738513e-07	3.24538792e+00	2.09889121e-06	1.29118412e-06	8.07707093e-07
1.02           	2.49071132e-07	3.22897276e+00	1.87404062e-06	1.18609144e-06	6.87949180e-07
1.04           	2.58090521e-07	3.21316044e+00	1.78578466e-06	1.15098285e-06	6.34801807e-07
1.06           	2.66344049e-07	3.19787488e+00	1.41010410e-06	9.71396099e-07	4.38708000e-07
1.08           	2.75108110e-07	3.18316252e+00	1.04849774e-06	7.99356978e-07	2.49140758e-07
1.1            	2.82373567e-07	3.16898482e+00	8.37414708e-07	7.01080921e-07	1.36333787e-07
1.12           	2.93448865e-07	3.15528269e+00	7.19489313e-07	6.53193521e-07	6.62957920e-08
1.14           	3.03173730e-07	3.14202104e+00	5.31204621e-07	5.68776041e-07	-3.75714195e-08
1.16           	3.10326026e-07	3.12919024e+00	3.49853440e-07	4.85252746e-07	-1.35399306e-07
1.18           	3.16794541e-07	3.11682129e+00	2.59162463e-07	4.46375773e-07	-1.87213310e-07
1.2            	3.25127093e-07	3.10480461e+00	1.10032918e-07	3.80143552e-07	-2.70110634e-07
1.22           	3.35813136e-07	3.09316273e+00	-1.49320099e-07	2.61153087e-07	-4.10473186e-07
1.24           	3.43939601e-07	3.08185462e+00	-3.47581970e-07	1.70148616e-07	-5.17730586e-07
1.26           	3.51122014e-07	3.07091688e+00	-5.19918916e-07	9.11625559e-08	-6.11081472e-07
1.28           	3.57290721e-07	3.06030214e+00	-6.09519521e-07	5.25309605e-08	-6.62050482e-07
1.3            	5.79025136e-07	3.05000210e+00	-3.89491328e-08	5.59550570e-07	-5.98499703e-07
1.32           	6.11660264e-07	3.04000660e+00	-8.34024001e-08	5.69959064e-07	-6.53361464e-07
1.34           	6.34035359e-07	3.03029867e+00	-2.76745561e-07	4.95662579e-07	-7.72408140e-07
1.36           	6.52032161e-07	3.02085932e+00	-2.27750810e-07	5.38156756e-07	-7.65907566e-07
1.38           	6.75623307e-07	3.01164682e+00	-2.50487899e-07	5.50379357e-07	-8.00867257e-07
1.4            	5.32536007e-07	3.00275840e+00	-1.34234916e-06	-1.38638572e-07	-1.20371059e-06
1.42           	6.78993238e-07	2.99407075e+00	-8.68844685e-07	2.44570896e-07	-1.11341558e-06
1.44           	7.84225350e-08	2.98562220e+00	-3.16408406e-06	-1.50361949e-06	-1.66046456e-06
1.46           	5.37387972e-08	2.97739124e+00	-3.33195823e-06	-1.61224032e-06	-1.71971791e-06
1.48           	-6.11659374e-08	2.96941167e+00	-3.67394602e-06	-1.89813895e-06	-1.77580707e-06
1.5            	-4.31633872e-08	2.96163502e+00	-3.99218827e-06	-2.03925752e-06	-1.95293075e-06
1.52           	-1.09723769e-08	2.95403876e+00	-4.15594724e-06	-2.08894600e-06	-2.06700124e-06
1.54           	5.06468238e-08	2.94663068e+00	-4.23208076e-06	-2.06539355e-06	-2.16668720e-06
1.56           	-1.02150238e-07	2.93941103e+00	-4.58588993e-06	-2.39509520e-06	-2.19079473e-06
1.58           	3.18767066e-07	2.93234805e+00	-2.59985462e-06	-9.81160241e-07	-1.61869437e-06
1.6            	6.52571249e-07	2.92553219e+00	-2.15047945e-06	-4.22668474e-07	-1.72781097e-06
1.62           	6.71814654e-07	2.91884431e+00	-3.73147117e-06	-1.19392093e-06	-2.53755024e-06
1.64           	-5.96098817e-07	2.91228455e+00	-7.08429906e-06	-4.13824835e-06	-2.94605071e-06
1.66           	-4.13625566e-07	2.90585268e+00	-6.70764569e-06	-3.76744841e-06	-2.94019728e-06
1.68           	-3.65447403e-07	2.89955723e+00	-6.78181739e-06	-3.75635610e-06	-3.02546129e-06
1.7            	4.25730900e-07	2.89338703e+00	-4.14200123e-06	-1.64526972e-06	-2.49673152e-06
1.72           	4.47933189e-07	2.88740638e+00	-3.85558261e-06	-1.47985812e-06	-2.37572450e-06
1.74           	4.38550419e-07	2.88152620e+00	-4.07309579e-06	-1.59799748e-06	-2.47509831e-06
1.76           	4.73730178e-07	2.87579658e+00	-3.70010207e-06	-1.37632086e-06	-2.32378122e-06
1.78           	5.11924923e-07	2.87018906e+00	-3.68987213e-06	-1.33301114e-06	-2.35686099e-06
1.8            	6.39059021e-07	2.86465358e+00	-3.84154516e-06	-1.28171356e-06	-2.55983160e-06
1.82           	6.74697647e-07	2.85925245e+00	-3.65902554e-06	-1.15481512e-06	-2.50421042e-06
1.84           	6.65749086e-07	2.85397702e+00	-3.65796413e-06	-1.16323298e-06	-2.49473115e-06
1.86           	6.54332310e-07	2.84878838e+00	-3.89315737e-06	-1.29224637e-06	-2.60091099e-06
1.88           	6.68184267e-07	2.84374110e+00	-3.96469324e-06	-1.31416235e-06	-2.65053089e-06
1.9            	6.61858709e-07	2.83876243e+00	-4.27855132e-06	-1.47741695e-06	-2.80113437e-06
1.92           	6.50499295e-07	2.83387385e+00	-4.22223268e-06	-1.46061704e-06	-2.76161563e-06
1.94           	6.37433549e-07	2.82909192e+00	-4.32592069e-06	-1.52552679e-06	-2.80039389e-06
1.96           	1.79964796e-06	2.82439538e+00	-2.05123105e-06	7.74032436e-07	-2.82526349e-06
1.98           	5.90727184e-07	2.81977242e+00	-4.45743540e-06	-1.63799052e-06	-2.81944489e-06
2              	5.78576015e-07	2.81524615e+00	-4.77478314e-06	-1.80881556e-06	-2.96596759e-06
2.02           	5.69146742e-07	2.81080669e+00	-4.89406624e-06	-1.87788638e-06	-3.01617986e-06
2.04           	5.57149034e-07	2.80646314e+00	-5.02350622e-06	-1.95460408e-06	-3.06890214e-06
2.06           	5.41909308e-07	2.80216970e+00	-5.13663006e-06	-2.02640572e-06	-3.11022434e-06
2.08           	5.24545699e-07	2.79795303e+00	-5.25099706e-06	-2.10095283e-06	-3.15004423e-06
2.1            	5.22685190e-07	2.79381512e+00	-5.43371953e-06	-2.19417458e-06	-3.23954496e-06
2.12           	5.08384526e-07	2.78976159e+00	-5.86500509e-06	-2.42411802e-06	-3.44088707e-06
2.14           	5.00297592e-07	2.78576908e+00	-5.99977626e-06	-2.49959054e-06	-3.50018572e-06
2.16           	4.95256029e-07	2.78184180e+00	-5.79046101e-06	-2.39997447e-06	-3.39048653e-06
2.18           	4.87888767e-07	2.77797880e+00	-6.15397154e-06	-2.58909700e-06	-3.56487454e-06
2.2            	4.98885713e-07	2.77416886e+00	-5.94619215e-06	-2.47421036e-06	-3.47198179e-06
2.22           	5.16631162e-07	2.77042398e+00	-5.91954137e-06	-2.44313952e-06	-3.47640184e-06
2.24           	5.21888661e-07	2.76674173e+00	-5.99997260e-06	-2.47809764e-06	-3.52187496e-06
2.26           	5.25554854e-07	2.76309788e+00	-5.98393072e-06	-2.46641050e-06	-3.51752021e-06
2.28           	5.27322383e-07	2.75950689e+00	-6.30403415e-06	-2.62469469e-06	-3.67933946e-06
2.3            	5.27568299e-07	2.75597030e+00	-6.12629828e-06	-2.53558084e-06	-3.59071744e-06
2.32           	5.25273836e-07	2.75248875e+00	-6.14599436e-06	-2.54772335e-06	-3.59827102e-06
2.34           	5.46587341e-07	2.74905770e+00	-6.15329113e-06	-2.53005822e-06	-3.62323291e-06
2.36           	5.60339897e-07	2.74567743e+00	-6.18667386e-06	-2.53299703e-06	-3.65367683e-06
2.38           	5.34796049e-07	2.74234583e+00	-6.29698954e-06	-2.61369872e-06	-3.68329082e-06
2.4            	5.13833050e-07	2.73906152e+00	-6.64916562e-06	-2.81074976e-06	-3.83841586e-06
2.42           	5.01035267e-07	2.73583488e+00	-6.69120161e-06	-2.84456554e-06	-3.84663607e-06
2.44           	4.93704648e-07	2.73262623e+00	-6.73508701e-06	-2.87383886e-06	-3.86124815e-06
2.46           	5.20667999e-07	2.72946974e+00	-6.76085416e-06	-2.85975908e-06	-3.90109508e-06
2.48           	4.79607515e-07	2.72635364e+00	-6.89401293e-06	-2.96739895e-06	-3.92661398e-06
2.5            	4.80017820e-07	2.72329611e+00	-6.94174557e-06	-2.99085497e-06	-3.95089061e-06
2.52           	4.80484312e-07	2.72027072e+00	-6.97516286e-06	-3.00709712e-06	-3.96806574e-06
2.54           	4.80585202e-07	2.71728106e+00	-6.96477331e-06	-3.00180145e-06	-3.96297186e-06
2.56           	4.79674620e-07	2.71433671e+00	-6.97687218e-06	-3.00876147e-06	-3.96811071e-06
2.58           	4.78441801e-07	2.71142947e+00	-7.05137707e-06	-3.04724673e-06	-4.00413034e-06
2.6            	4.76841678e-07	2.70855791e+00	-7.09042327e-06	-3.06836996e-06	-4.02205331e-06
2.62           	4.85876816e-07	2.70570647e+00	-7.30662898e-06	-3.16743767e-06	-4.13919131e-06
2.64           	5.02952939e-07	2.70288882e+00	-7.28727984e-06	-3.14068698e-06	-4.14659286e-06
2.66           	5.22630568e-07	2.70010308e+00	-7.21026972e-06	-3.08250429e-06	-4.12776543e-06
2.68           	5.40573946e-07	2.69734772e+00	-7.16269938e-06	-3.04077575e-06	-4.12192364e-06
2.7            	5.55127161e-07	2.69462210e+00	-6.97032871e-06	-2.93003719e-06	-4.04029152e-06
2.72           	5.65910308e-07	2.69192657e+00	-6.94616865e-06	-2.90717402e-06	-4.03899463e-06
2.74           	5.73375798e-07	2.68926186e+00	-6.90540662e-06	-2.87932751e-06	-4.02607911e-06
2.76           	5.79327849e-07	2.68662922e+00	-6.89723355e-06	-2.86928893e-06	-4.02794463e-06
2.78           	5.84573290e-07	2.68402525e+00	-6.87990786e-06	-2.85538064e-06	-4.02452722e-06
2.8            	6.49165918e-07	2.68145551e+00	-6.76000478e-06	-2.73083647e-06	-4.02916831e-06
2.82           	6.89605047e-07	2.67892256e+00	-6.75760281e-06	-2.68919636e-06	-4.06840645e-06
2.84           	7.05384812e-07	2.67641873e+00	-6.52495343e-06	-2.55709190e-06	-3.96786152e-06
2.86           	6.78085016e-07	2.67394014e+00	-6.55430914e-06	-2.59906955e-06	-3.95523958e-06
2.88           	6.49154793e-07	2.67148709e+00	-6.65280784e-06	-2.67724913e-06	-3.97555871e-06
2.9            	6.14232427e-07	2.66905789e+00	-6.71922637e-06	-2.74538076e-06	-3.97384561e-06
2.92           	6.03672199e-07	2.66665135e+00	-6.22297319e-06	-2.50781440e-06	-3.71515879e-06
2.94           	5.94684280e-07	2.66426216e+00	-5.79858084e-06	-2.30460614e-06	-3.49397470e-06
2.96           	5.84480018e-07	2.66190395e+00	-5.38484598e-06	-2.10794297e-06	-3.27690301e-06
2.98           	5.74137893e-07	2.65956694e+00	-5.70859451e-06	-2.28015936e-06	-3.42843515e-06
3              	5.64803551e-07	2.65725008e+00	-6.11414123e-06	-2.49226706e-06	-3.62187416e-06
3.02           	5.57022394e-07	2.65497271e+00	-6.28631338e-06	-2.58613430e-06	-3.70017908e-06
3.04           	5.50795761e-07	2.65269756e+00	-6.31304551e-06	-2.60572700e-06	-3.70731852e-06
