# Force coefficients
# liftDir      : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# dragDir      : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# pitchAxis    : (0.00000000e+00 0.00000000e+00 1.00000000e+00)
# magUInf      : 1.00000000e+00
# lRef         : 2.00000000e+00
# Aref         : 2.00000000e+00
# CofR         : (0.00000000e+00 0.00000000e+00 0.00000000e+00)
#              
# Time         	Cm             	Cd             	Cl             	Cl(f)          	Cl(r)          
0.02           	-1.99646707e-08	1.53391281e+02	3.90046557e-05	1.94823632e-05	1.95222925e-05
0.04           	3.60921174e-08	5.17246266e+00	-6.25093842e-06	-3.08937709e-06	-3.16156133e-06
0.06           	2.50884499e-08	-1.66554056e+01	-9.07724789e-05	-4.53611510e-05	-4.54113279e-05
0.08           	8.04267649e-09	-1.18963219e+01	9.13788445e-05	4.56974649e-05	4.56813796e-05
0.1            	-5.35151140e-09	-6.78506872e+00	1.75908765e-05	8.79008672e-06	8.80078974e-06
0.12           	-1.25264134e-08	-3.72639743e+00	8.14761848e-05	4.07255660e-05	4.07506188e-05
0.14           	1.94207741e-08	-2.09703552e+00	-2.62477684e-05	-1.31044634e-05	-1.31433050e-05
0.16           	1.41189214e-07	-1.24855487e+00	-3.29453149e-05	-1.63314682e-05	-1.66138467e-05
0.18           	1.66500222e-07	-7.84788623e-01	-2.54415906e-05	-1.25542951e-05	-1.28872955e-05
0.2            	1.46457787e-07	-5.07293926e-01	-5.57870051e-05	-2.77470448e-05	-2.80399603e-05
0.22           	1.20972823e-07	-3.24245624e-01	-6.56802065e-07	-2.07428210e-07	-4.49373855e-07
0.24           	9.80348999e-08	-1.94191605e-01	-6.53562917e-06	-3.16977969e-06	-3.36584949e-06
0.26           	9.80300519e-08	-9.73546153e-02	-1.33868335e-05	-6.59538670e-06	-6.79144680e-06
0.28           	1.18949341e-07	-2.32258289e-02	-2.19459540e-05	-1.08540276e-05	-1.10919263e-05
0.3            	1.42900246e-07	3.46350347e-02	-1.05110239e-05	-5.11261169e-06	-5.39841218e-06
0.32           	1.62147540e-07	8.02782945e-02	-2.15044995e-05	-1.05901022e-05	-1.09143973e-05
0.34           	1.63779339e-07	1.16615189e-01	-1.75807970e-05	-8.62661915e-06	-8.95417783e-06
0.36           	1.35142356e-07	1.45869834e-01	-1.29197147e-05	-6.32471498e-06	-6.59499969e-06
0.38           	1.19219908e-07	1.69622081e-01	-5.07845440e-06	-2.42000729e-06	-2.65844711e-06
0.4            	1.08333280e-07	1.89006570e-01	2.16914319e-05	1.09540492e-05	1.07373827e-05
0.42           	1.11652481e-07	2.05203781e-01	-1.50886953e-05	-7.43269516e-06	-7.65600012e-06
0.44           	1.21762310e-07	2.18669992e-01	-8.07263939e-06	-3.91455739e-06	-4.15808201e-06
0.46           	1.35786816e-07	2.30033751e-01	-9.89266676e-06	-4.81054657e-06	-5.08212020e-06
0.48           	1.46093167e-07	2.39686357e-01	-2.34975538e-05	-1.16026837e-05	-1.18948701e-05
0.5            	1.52135295e-07	2.48007991e-01	-2.78227795e-05	-1.37592545e-05	-1.40635250e-05
0.52           	1.55523828e-07	2.55247651e-01	-3.41594324e-05	-1.69241924e-05	-1.72352400e-05
0.54           	1.57519413e-07	2.61626982e-01	-3.82596339e-05	-1.89722976e-05	-1.92873364e-05
0.56           	1.52322247e-07	2.67427550e-01	-4.26100695e-05	-2.11527125e-05	-2.14573570e-05
0.58           	1.38684142e-07	2.72945497e-01	-4.64809178e-05	-2.31017748e-05	-2.33791431e-05
0.6            	1.23293423e-07	2.78178318e-01	-5.21106506e-05	-2.59320319e-05	-2.61786187e-05
0.62           	1.08471239e-07	2.83174228e-01	-5.57370806e-05	-2.77600691e-05	-2.79770116e-05
