# Force coefficients
# liftDir      : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# dragDir      : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# pitchAxis    : (0.00000000e+00 0.00000000e+00 1.00000000e+00)
# magUInf      : 1.00000000e+00
# lRef         : 2.00000000e+00
# Aref         : 2.00000000e+00
# CofR         : (0.00000000e+00 0.00000000e+00 0.00000000e+00)
#              
# Time         	Cm             	Cd             	Cl             	Cl(f)          	Cl(r)          
0.02           	-6.35658048e-10	1.53259727e+02	3.95158675e-05	1.97572981e-05	1.97585694e-05
0.04           	1.39770017e-08	5.11055618e+00	-7.14147714e-06	-3.55676157e-06	-3.58471557e-06
0.06           	9.58685928e-09	-1.67479218e+01	-8.96608389e-05	-4.48208326e-05	-4.48400063e-05
0.08           	2.43264585e-09	-1.19960892e+01	9.09598464e-05	4.54823559e-05	4.54774906e-05
0.1            	-2.99262143e-09	-6.89149538e+00	1.68718772e-05	8.43294598e-06	8.43893123e-06
0.12           	-6.47592013e-09	-3.83100900e+00	8.58937216e-05	4.29403849e-05	4.29533367e-05
0.14           	2.82693891e-08	-2.19794178e+00	-3.29415637e-05	-1.64425125e-05	-1.64990513e-05
0.16           	6.65530246e-08	-1.34584000e+00	-3.50341482e-05	-1.74505211e-05	-1.75836271e-05
0.18           	7.21076435e-08	-8.79041064e-01	-5.51680951e-05	-2.75119399e-05	-2.76561552e-05
0.2            	5.96131638e-08	-5.98922497e-01	-2.26742991e-05	-1.12775364e-05	-1.13967627e-05
0.22           	4.37558560e-08	-4.13383479e-01	-8.58261358e-06	-4.24755094e-06	-4.33506265e-06
0.24           	3.79185354e-08	-2.80833301e-01	-1.07732838e-05	-5.34872336e-06	-5.42456043e-06
0.26           	4.28695448e-08	-1.81666742e-01	-1.15071966e-05	-5.71072874e-06	-5.79646783e-06
0.28           	5.29398169e-08	-1.05358025e-01	-2.12778368e-05	-1.05859786e-05	-1.06918582e-05
0.3            	6.31462733e-08	-4.55504690e-02	-2.43448370e-05	-1.21092722e-05	-1.22355648e-05
0.32           	6.53822534e-08	2.02691097e-03	-1.84943114e-05	-9.18177345e-06	-9.31253795e-06
0.34           	5.43862566e-08	4.01573393e-02	-1.94065557e-05	-9.64889159e-06	-9.75766411e-06
0.36           	4.73011177e-08	7.10302286e-02	-1.41722011e-05	-7.03879943e-06	-7.13340166e-06
