# Section 8 - 396mm
# y(mm) U(m/s)  M       T(K)     rho(kg/m^3)
0.10    513.0   1.658   238.18   0.48606
0.20    589.3   2.033   209.07   0.55374
0.21    587.2   2.021   210.10   0.55102
0.30    604.4   2.117   202.87   0.57064
0.39    605.9   2.124   202.52   0.57163
0.40    610.2   2.149   200.60   0.57710
0.50    609.1   2.153   199.18   0.58123
0.60    614.9   2.180   197.86   0.58510
0.80    629.1   2.268   191.41   0.60482
1.10    650.9   2.409   181.67   0.63724
1.40    667.3   2.524   173.90   0.66571
1.70    689.3   2.693   163.03   0.71011
2.10    708.2   2.855   153.12   0.75607
2.60    733.1   3.091   139.93   0.82730
3.15    744.5   3.212   133.66   0.86613
3.60    748.8   3.260   131.25   0.88202
4.10    750.5   3.279   130.31   0.88838
5.10    750.9   3.284   130.06   0.89008
6.60    751.2   3.287   129.92   0.89104
