# Section 9 - 426mm
# y(mm) U(m/s)  M       T(K)     rho(kg/m^3)
0.10    402.4   1.227   267.69   0.42944
0.15    481.0   1.526   247.07   0.46527
0.15    481.8   1.532   246.04   0.46721
0.20    511.0   1.654   237.39   0.48424
0.25    545.3   1.819   223.64   0.51402
0.40    591.8   2.060   205.32   0.55988
0.50    607.5   2.148   198.92   0.57790
0.60    617.5   2.210   194.25   0.59179
0.80    631.0   2.290   188.81   0.60885
1.05    639.5   2.347   184.80   0.62206
1.30    645.7   2.392   181.33   0.63396
1.50    653.3   2.447   177.45   0.64783
1.75    664.2   2.518   173.15   0.66389
2.15    677.2   2.616   166.77   0.68930
2.55    692.8   2.742   158.80   0.72388
2.95    708.4   2.879   150.63   0.76314
3.40    724.1   3.028   142.29   0.80790
3.80    732.7   3.116   137.61   0.83539
4.20    739.5   3.189   133.83   0.85898
4.65    744.7   3.246   130.94   0.87791
5.15    747.2   3.275   129.52   0.88753
6.15    747.2   3.275   129.53   0.88750
