# Section 4 - 316mm
# y(mm) U(m/s)  M       T(K)     rho(kg/m^3)
0.10    409.3   1.264   261.12   0.05712
0.20    537.6   1.817   217.69   0.06852
0.35    611.6   2.239   185.71   0.08031
0.45    635.8   2.401   174.47   0.08549
0.55    644.5   2.466   169.98   0.08775
0.60    647.8   2.491   168.24   0.08866
0.75    670.2   2.668   157.02   0.09499
0.85    676.3   2.719   153.96   0.09688
0.95    687.5   2.824   147.43   0.10117
1.15    700.3   2.943   140.91   0.10585
1.30    711.7   3.068   133.86   0.11142
1.50    727.0   3.227   126.31   0.11809
1.80    745.1   3.449   116.14   0.12843
2.10    756.5   3.608   109.38   0.13637
2.60    780.7   3.999   94.82    0.15730
3.10    795.0   4.272   86.17    0.17310
3.60    810.0   4.613   76.69    0.19450
4.10    817.4   4.805   72.00    0.20717
4.50    820.1   4.881   70.23    0.21239
5.20    822.3   4.945   68.80    0.21679
6.10    823.8   4.988   67.85    0.21982
7.10    823.8   4.989   67.84    0.21988
