#Section 7 - 376mm
#y(mm) U(m/s)  M       T(K)     rho(kg/m^3)
0.10   496.9   1.602   239.46   0.48160
0.20   542.7   1.799   226.42   0.50934
0.25   544.8   1.817   223.75   0.51541
0.30   549.7   1.834   223.54   0.51588
0.40   560.9   1.889   219.22   0.52605
0.50   569.7   1.936   215.43   0.53532
0.60   587.1   2.031   207.87   0.55479
0.61   590.1   2.046   206.84   0.55754
0.70   593.0   2.062   205.74   0.56053
0.80   604.9   2.133   200.06   0.57644
0.95   619.9   2.220   194.00   0.59443
1.15   642.3   2.362   183.97   0.62686
1.30   657.2   2.465   176.89   0.65196
1.45   670.2   2.561   170.37   0.67688
1.65   687.0   2.697   161.39   0.71457
1.85   707.0   2.865   151.52   0.76108
2.10   725.8   3.043   141.56   0.81466
2.40   736.9   3.156   135.62   0.85035
2.65   742.3   3.215   132.65   0.86937
3.10   745.6   3.251   130.81   0.88159
3.60   746.5   3.262   130.27   0.88525
4.10   746.6   3.263   130.22   0.88560
