# Section 10 - 449mm
# y(mm) U(m/s)  M       T(K)     rho(kg/m^3)
0.15    445.4   1.388   256.31   0.45077
0.15    448.2   1.396   256.38   0.45064
0.25    531.7   1.750   229.59   0.50322
0.30    555.4   1.866   220.49   0.52399
0.35    575.6   1.972   211.95   0.54509
0.45    597.8   2.095   202.47   0.57061
0.55    607.2   2.152   197.97   0.58360
0.65    615.3   2.195   195.51   0.59093
0.85    629.4   2.285   188.82   0.61187
1.15    641.9   2.373   181.97   0.63490
1.35    654.6   2.452   177.34   0.65149
1.65    661.8   2.502   174.05   0.66380
2.10    681.2   2.652   164.23   0.70350
2.75    702.2   2.827   153.47   0.75279
3.30    718.2   2.975   145.02   0.79670
3.75    730.8   3.101   138.18   0.83610
4.35    739.3   3.192   133.52   0.86532
5.15    744.9   3.254   130.35   0.88632
6.05    746.9   3.277   129.26   0.89379
6.35    747.2   3.281   129.07   0.89513
